,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_target_object,test_type,model
0,0.0005462017345606633,1.0,11,0.00044958207217860036,1.0,11,0.0110391641035676,0.998828125,11,BeachBall,target_object,mobilenet-saycam(S)
1,0.0005394433042739355,1.0,10,0.0004587245192461913,1.0,10,0.00496164269716246,0.998828125,10,Knight,target_object,mobilenet-saycam(S)
2,0.0005176833710648633,1.0,10,0.00042281527930754237,1.0,10,0.0332537074922584,0.988671875,10,Lego,target_object,mobilenet-saycam(S)
3,0.0004276267743543832,1.0,12,0.0004159532244167557,1.0,12,0.0011182137906871504,1.0,12,Pineapple,target_object,mobilenet-saycam(S)
4,0.00021050958935749532,1.0,14,0.00025952971866770113,1.0,14,0.05209623705595732,0.984765625,14,PingPong,target_object,mobilenet-saycam(S)
5,0.00046381594818186664,1.0,11,0.0005975080800583653,1.0,11,0.033774902739241955,0.986328125,11,Robot,target_object,mobilenet-saycam(S)
6,0.00023649840298423493,1.0,15,0.0002478627188143686,1.0,15,0.09290993213653564,0.958984375,15,RubberDuck,target_object,mobilenet-saycam(S)
7,0.0003560583281221251,1.0,10,0.00043871283118538225,1.0,10,0.14338226141408086,0.932421875,10,Teddy,target_object,mobilenet-saycam(S)
8,0.00040251092094995727,1.0,10,0.0005198304204116409,1.0,10,0.0733768165577203,0.97421875,10,BeachBall,target_object,mobilenet-imagenet
9,0.00031958675735446957,1.0,10,0.0003759660633347396,1.0,10,0.64791219830513,0.78828125,10,Knight,target_object,mobilenet-imagenet
10,0.00027131931185908707,1.0,9,0.0003395565942940136,1.0,9,0.22045729942619802,0.903515625,9,Lego,target_object,mobilenet-imagenet
11,0.00034440719987161776,1.0,12,0.00040286493965270765,1.0,12,0.001119752009981312,1.0,12,Pineapple,target_object,mobilenet-imagenet
12,0.00038168474152065784,1.0,10,0.0004459211930744849,1.0,10,0.010570409207139165,0.99765625,10,PingPong,target_object,mobilenet-imagenet
13,0.00033077106677895785,1.0,12,0.0005164585519586191,1.0,12,0.030899706727359443,0.9875,12,Robot,target_object,mobilenet-imagenet
14,0.00016440129555394736,1.0,14,0.0006046273501851829,1.0,14,0.004523792098916601,1.0,14,RubberDuck,target_object,mobilenet-imagenet
15,0.00032286122356741157,1.0,12,0.0004964234831277281,1.0,12,0.2649884393438697,0.90390625,12,Teddy,target_object,mobilenet-imagenet
16,1.098365810077652,0.33695652173913043,9,1.0915395532335554,0.4000035992690495,4,1.0915390968322753,0.4,4,BeachBall,target_object,mobilenet-random
17,1.0987121083519675,0.3363389328063241,6,1.0912856289318629,0.3999855986663273,2,1.0912845849990844,0.4,2,Knight,target_object,mobilenet-random
18,1.0985919218289522,0.3418354743083004,13,1.089248891387667,0.3999855986663273,9,1.0892479687929153,0.4,9,Lego,target_object,mobilenet-random
19,1.0986421758478337,0.3354125494071146,4,1.0869473900113786,0.3999855986663273,5,1.0869459986686707,0.4,5,Pineapple,target_object,mobilenet-random
20,1.0986945935388799,0.33701828063241107,1,1.0932204042162215,0.3999855986663273,2,1.0932196855545044,0.4,2,PingPong,target_object,mobilenet-random
21,1.0986726481923943,0.3359066205533597,1,1.091585350888116,0.4000035992690495,4,1.0915850162506104,0.4,4,Robot,target_object,mobilenet-random
22,1.0985804598322029,0.33948863636363635,16,1.0886439425604684,0.3999855986663273,11,1.0886427223682404,0.4,11,RubberDuck,target_object,mobilenet-random
23,1.098620083963447,0.3367712450592885,3,1.0956633303846632,0.4000035992690495,5,1.0956636190414428,0.4,5,Teddy,target_object,mobilenet-random
24,0.00022681656119954567,1.0,9,0.00023309824661867294,1.0,9,0.059721166454255584,0.979296875,9,BeachBall,target_object,resnext-saycam(S)
25,0.00011896434170562082,1.0,13,0.00012161841966319895,1.0,13,0.0016580946601607138,1.0,13,Knight,target_object,resnext-saycam(S)
26,0.00018175303629551658,1.0,11,0.00017799871784518473,1.0,11,0.10848282543011009,0.94765625,11,Lego,target_object,resnext-saycam(S)
27,0.00021711208803759587,1.0,9,0.0002132923995564592,1.0,9,0.001358879330655327,1.0,9,Pineapple,target_object,resnext-saycam(S)
28,0.0002242317212566783,1.0,9,0.00022355749258297562,1.0,9,0.1048167117871344,0.944140625,9,PingPong,target_object,resnext-saycam(S)
29,0.00018732940384774403,1.0,11,0.00020513387322093228,1.0,11,0.010964319750200957,0.999609375,11,Robot,target_object,resnext-saycam(S)
30,0.00019754560699324279,1.0,11,0.00021058892447659412,1.0,11,0.0020329825892986264,1.0,11,RubberDuck,target_object,resnext-saycam(S)
31,0.00024051392123107973,1.0,9,0.00023040928213699123,1.0,9,0.036737152480054644,0.9875,9,Teddy,target_object,resnext-saycam(S)
32,0.00028893483879519516,1.0,12,0.00033603730077759664,1.0,12,0.16235975036397576,0.925,12,BeachBall,target_object,resnext-imagenet
33,0.00010231825720406438,1.0,13,0.0001143975910703635,1.0,13,0.03424038795055821,0.99140625,13,Knight,target_object,resnext-imagenet
34,0.0002125152772523255,1.0,14,0.00029759748888734194,1.0,14,0.14132919451221823,0.93125,14,Lego,target_object,resnext-imagenet
35,0.0003190950633630535,1.0,10,0.0004033072481044136,1.0,10,0.12331183273345232,0.941796875,10,Pineapple,target_object,resnext-imagenet
36,0.00031699759190512833,1.0,12,0.0004035732849193404,1.0,12,0.01523238028457854,0.99765625,12,PingPong,target_object,resnext-imagenet
37,0.0002821614979629418,1.0,11,0.00038778342085216925,1.0,11,0.06101316900458187,0.973046875,11,Robot,target_object,resnext-imagenet
