,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_seed,test_type,model
0,0.0008595521450905804,1.0,13,0.0008850555319580822,1.0,13,0.0008263300784627005,1.0,13,33,configuration,mobilenet-saycam(S)
1,0.0005058148027932601,1.0,17,0.0009164587290097887,1.0,17,0.000936284137539573,1.0,17,34,configuration,mobilenet-saycam(S)
2,0.0005938537026944185,1.0,15,0.000956998068991547,1.0,16,0.0005772486254297999,1.0,16,35,configuration,mobilenet-saycam(S)
3,0.0005655901979543128,1.0,13,0.0005162244264143878,1.0,15,0.0007676385560602833,1.0,15,36,configuration,mobilenet-saycam(S)
4,0.0005460878373610442,1.0,14,0.0005974324994895142,1.0,14,0.0005703402347289883,1.0,14,37,configuration,mobilenet-saycam(S)
5,0.0005153429627108412,1.0,11,0.0004512998977868567,1.0,11,0.0005198031332463235,1.0,11,33,configuration,mobilenet-imagenet
6,0.00033406724585425954,1.0,15,0.000407556770649255,1.0,15,0.0003797559236859559,1.0,15,34,configuration,mobilenet-imagenet
7,0.00030072265635367487,1.0,16,0.0005086354955822641,1.0,15,0.0006462116661067638,1.0,15,35,configuration,mobilenet-imagenet
8,0.0003964608828843258,1.0,14,0.0008032845440678871,1.0,14,0.0005220249718510627,1.0,14,36,configuration,mobilenet-imagenet
9,0.0005381151649685465,1.0,12,0.0007634849308278018,1.0,12,0.000654686844773962,1.0,12,37,configuration,mobilenet-imagenet
10,1.0987136620899727,0.3388229483931229,2,1.0966953451816852,0.40000000022924864,4,1.096698246304951,0.3998015873015873,4,33,configuration,mobilenet-random
11,1.0987089266037118,0.3403719785655367,1,1.0927362671265235,0.40000000022924864,1,1.092741158273485,0.4000496031746032,1,34,configuration,mobilenet-random
12,1.0985375524594867,0.34020294544511825,3,1.0907983504808867,0.40000000022924864,3,1.0908026014055525,0.4000496031746032,3,35,configuration,mobilenet-random
13,1.0987793828906685,0.33304544885096876,3,1.092231837602762,0.40000000022924864,2,1.0922385586632624,0.4000496031746032,2,36,configuration,mobilenet-random
14,1.098648080024226,0.3396311380482953,1,1.0948305634351878,0.40000000022924864,1,1.094832870695326,0.4000496031746032,1,37,configuration,mobilenet-random
15,0.0001932852879408215,1.0,15,0.00030032720007091906,1.0,15,0.00020302738829784737,1.0,15,33,configuration,resnext-saycam(S)
16,0.00042209215666060056,1.0,10,0.0003469369316567631,1.0,10,0.0004443936280920983,1.0,10,34,configuration,resnext-saycam(S)
17,0.0003163046424341356,1.0,12,0.00040525179960800765,1.0,12,0.0003978583511539794,1.0,12,35,configuration,resnext-saycam(S)
18,0.0004791226039177955,1.0,10,0.00045653678255173593,1.0,10,0.0006563197051628589,1.0,10,36,configuration,resnext-saycam(S)
19,0.000442477247721901,1.0,10,0.0004277247952324195,1.0,10,0.000394231748017889,1.0,10,37,configuration,resnext-saycam(S)
20,0.00030940388489460896,1.0,12,0.000417316613703196,1.0,12,0.0003688445885061464,1.0,12,33,configuration,resnext-imagenet
21,0.0005399944756359689,1.0,10,0.0005520828837269129,1.0,10,0.0009590065037339209,0.9997519841269841,10,34,configuration,resnext-imagenet
22,0.00040155811730701,1.0,12,0.0003527817862050142,1.0,12,0.0004322991695112756,1.0,12,35,configuration,resnext-imagenet
23,0.0002129292748922408,1.0,15,0.000257644610778348,1.0,15,0.0005300099666841099,0.9997519841269841,15,36,configuration,resnext-imagenet
24,0.00036471530689470517,1.0,12,0.00032427524050805147,1.0,12,0.0008265218970740938,0.9997519841269841,12,37,configuration,resnext-imagenet
25,0.7817614636030691,0.6608746408902365,23,0.7787680602990664,0.6641159195166367,18,0.7831603468410553,0.6517857142857143,18,33,configuration,resnext-random
26,0.6417790378989845,0.7435463679761722,64,0.6252176073881296,0.750307158781932,60,0.6244465169452486,0.7375992063492064,60,34,configuration,resnext-random
27,0.6396648897949991,0.7458045449236343,66,0.6221938156164609,0.7378472227316636,62,0.6173807742103697,0.7437996031746031,62,35,configuration,resnext-random
28,0.6535008770638498,0.7385968666138321,57,0.638783200429036,0.7375934834663684,55,0.6507151647219582,0.7356150793650794,55,36,configuration,resnext-random
29,0.7823717362921814,0.6669360633040297,23,0.7746249918754284,0.6704059839248657,18,0.7862358623080783,0.6552579365079365,18,37,configuration,resnext-random
30,0.0005792671671111622,1.0,14,0.000763694409285493,1.0,13,0.0010456036691302581,1.0,13,33,configuration,resnext-saycam(S)-s
31,0.00044832399628924987,1.0,18,0.0005864388507549078,1.0,18,0.000663405833851328,1.0,18,34,configuration,resnext-saycam(S)-s
32,0.0006230249480346363,1.0,15,0.001230432130866505,1.0,14,0.000883699835275553,1.0,14,35,configuration,resnext-saycam(S)-s
33,0.0004311458467406016,1.0,17,0.00045215682593362336,1.0,17,0.0009783882294522343,1.0,17,36,configuration,resnext-saycam(S)-s
34,0.00071861224694595,1.0,13,0.0006566015928491162,1.0,13,0.000812485833901317,1.0,13,37,configuration,resnext-saycam(S)-s
35,0.00038358979211274155,1.0,12,0.0004655960048974241,1.0,12,0.0005619205113607533,1.0,12,33,configuration,resnext-saycam(S)-h
36,0.0006004976982914176,1.0,11,0.000650668764697352,1.0,11,0.0006747386237076993,1.0,11,34,configuration,resnext-saycam(S)-h
37,0.00031325376566483415,1.0,16,0.00042083319399702863,1.0,16,0.0002887953161108372,1.0,16,35,configuration,resnext-saycam(S)-h
38,0.00031709844338836084,1.0,15,0.0004815643271565652,1.0,15,0.0006422960137743281,1.0,15,36,configuration,resnext-saycam(S)-h
