,train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_target_object,test_type,model
0,0.000618254187760282,1.0,13,0.00046408754133153707,1.0,13,0.1352963167242706,0.944921875,13,BeachBall,target_object,mobilenet-saycam(S)
1,0.0003306172529702869,1.0,17,0.00027648539201306576,1.0,17,0.004097984314284986,0.999609375,17,Knight,target_object,mobilenet-saycam(S)
2,0.0007541557998725916,1.0,12,0.0006516153942876761,1.0,12,0.5884674690663815,0.873828125,12,Lego,target_object,mobilenet-saycam(S)
3,0.0006527123444648312,1.0,14,0.0005747039088289187,1.0,14,0.007307909800147172,0.9984375,14,Pineapple,target_object,mobilenet-saycam(S)
4,0.0008174100668565738,1.0,11,0.0008354493480250572,1.0,10,0.3544021975249052,0.876953125,10,PingPong,target_object,mobilenet-saycam(S)
5,0.0005648414259663739,1.0,15,0.0006015787408354559,1.0,15,0.15634841565042734,0.93828125,15,Robot,target_object,mobilenet-saycam(S)
6,0.0004938661949877728,1.0,12,0.0005438144845746658,1.0,12,0.8364963322877884,0.87890625,12,RubberDuck,target_object,mobilenet-saycam(S)
7,0.0005144984852773388,1.0,13,0.0005552147444437391,1.0,12,0.8302345119416714,0.78984375,12,Teddy,target_object,mobilenet-saycam(S)
8,0.00024964965421876917,1.0,15,0.00025334989004477393,1.0,15,0.2665259398519993,0.897265625,15,BeachBall,target_object,mobilenet-imagenet
9,0.0005606899059008579,1.0,11,0.0005062467555814822,1.0,11,0.4421911619603634,0.812109375,11,Knight,target_object,mobilenet-imagenet
10,0.00038443954762174627,1.0,10,0.0005100843944611759,1.0,10,0.9092305973172188,0.80546875,10,Lego,target_object,mobilenet-imagenet
11,0.00030181867118753223,1.0,10,0.00036139571264876783,1.0,10,0.0011910312477994012,1.0,10,Pineapple,target_object,mobilenet-imagenet
12,0.00041208455378531107,1.0,12,0.0004089639382332929,1.0,12,0.10101290252059698,0.95546875,12,PingPong,target_object,mobilenet-imagenet
13,0.0003426921693828169,1.0,12,0.0004310769083011629,1.0,12,0.10577626319136471,0.9515625,12,Robot,target_object,mobilenet-imagenet
14,0.00030155153368475936,1.0,12,0.0003501514719183823,1.0,12,0.01595436460338533,0.9953125,12,RubberDuck,target_object,mobilenet-imagenet
15,0.0004994699615325243,1.0,11,0.000668964598194829,1.0,11,0.23206892386078834,0.897265625,11,Teddy,target_object,mobilenet-imagenet
16,1.0987146758279311,0.3387475296442688,6,1.0899254551955633,0.4000035992690495,4,1.0899247407913208,0.4,4,BeachBall,target_object,mobilenet-random
17,1.098666231622809,0.3397356719367589,2,1.0965674136366164,0.3999855986663273,5,1.0965671062469482,0.4,5,Knight,target_object,mobilenet-random
18,1.0987474244573843,0.32707509881422925,1,1.0918078848293848,0.3999855986663273,6,1.0918072700500487,0.4,6,Lego,target_object,mobilenet-random
19,1.098777754975873,0.3357831027667984,6,1.0963026668344225,0.4000035992690495,2,1.096302604675293,0.4,2,Pineapple,target_object,mobilenet-random
20,1.098708114605176,0.33504199604743085,5,1.0968361965247564,0.4000035992690495,1,1.096836256980896,0.4,1,PingPong,target_object,mobilenet-random
21,1.098643661487715,0.3345479249011858,1,1.0948713208947862,0.4000035992690495,2,1.0948712348937988,0.4,2,Robot,target_object,mobilenet-random
22,1.0987942430812851,0.3351037549407115,4,1.095955056803567,0.3999855986663273,4,1.0959544897079467,0.4,4,RubberDuck,target_object,mobilenet-random
23,1.098557094811451,0.3424530632411067,1,1.0898516731602805,0.4000035992690495,1,1.0898514986038208,0.4,1,Teddy,target_object,mobilenet-random
24,0.00025105795213007536,1.0,13,0.00024630013922433136,1.0,13,0.2518568644300103,0.908984375,13,BeachBall,target_object,resnext-saycam(S)
25,0.0003680409793608632,1.0,10,0.00040448263462167233,1.0,10,0.0106917872937629,0.996875,10,Knight,target_object,resnext-saycam(S)
26,0.0003225104887483194,1.0,10,0.0003860594952129759,1.0,10,0.5188203461468219,0.89375,10,Lego,target_object,resnext-saycam(S)
27,0.00023470313854983687,1.0,11,0.00024231360267939244,1.0,11,0.09606767459772528,0.956640625,11,Pineapple,target_object,resnext-saycam(S)
28,0.00035843853908337894,1.0,10,0.0003388569673136642,1.0,10,0.1290632757358253,0.94375,10,PingPong,target_object,resnext-saycam(S)
29,0.0003679824469375457,1.0,10,0.0004010263822107975,1.0,10,0.06763420812785625,0.966015625,10,Robot,target_object,resnext-saycam(S)
30,0.0003874077382113273,1.0,10,0.00038589929993447313,1.0,10,0.010625972712296062,0.99765625,10,RubberDuck,target_object,resnext-saycam(S)
31,0.00045771373970278313,1.0,10,0.00046528172294659143,1.0,10,0.014731941907666624,0.9984375,10,Teddy,target_object,resnext-saycam(S)
32,0.0003333717548072024,1.0,10,0.0003568069561359672,1.0,10,0.5123564563691616,0.880078125,10,BeachBall,target_object,resnext-imagenet
33,0.00026839562714064914,1.0,13,0.00024693213604872914,1.0,13,0.027828781388234348,0.99296875,13,Knight,target_object,resnext-imagenet
34,0.0003186250994432434,1.0,10,0.0003472483248125562,1.0,10,0.4807491205632687,0.88359375,10,Lego,target_object,resnext-imagenet
35,0.00036235329143568623,1.0,9,0.0004406484115731603,1.0,9,0.6366221636533738,0.8484375,9,Pineapple,target_object,resnext-imagenet
36,0.00030169144201324446,1.0,12,0.00044918063966698743,1.0,11,0.022199757857015355,0.99375,11,PingPong,target_object,resnext-imagenet
37,0.00025519245975927964,1.0,14,0.0003480461805988203,1.0,14,0.2933213794603944,0.91640625,14,Robot,target_object,resnext-imagenet
