,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
43,resnext-saycam(S)-v,split_text,0.736328125,0.4406234323978424,0.013769482262432575,2,1,34,1024,no_reference,equidistant
44,resnext-saycam(S)-v,random_color,0.875,0.33071890473365784,0.010334965772926807,2,1,34,1024,no_reference,equidistant
45,resnext-saycam(S)-hv,different_shapes,0.3603515625,0.48010239005088806,0.015003199689090252,2,1,34,1024,no_reference,equidistant
46,resnext-saycam(S)-hv,split_text,0.40625,0.49113228917121887,0.01534788403660059,2,1,34,1024,no_reference,equidistant
47,resnext-saycam(S)-hv,random_color,0.357421875,0.4792405366897583,0.014976266771554947,2,1,34,1024,no_reference,equidistant
48,resnext-DINO-S,different_shapes,0.423828125,0.49416378140449524,0.015442618168890476,2,1,34,1024,no_reference,equidistant
49,resnext-DINO-S,split_text,0.431640625,0.4953049421310425,0.015478279441595078,2,1,34,1024,no_reference,equidistant
50,resnext-DINO-S,random_color,0.3486328125,0.4765374958515167,0.014891796745359898,2,1,34,1024,no_reference,equidistant
51,resnext-DINO-ImageNet,different_shapes,0.3603515625,0.48010239005088806,0.015003199689090252,2,1,34,1024,no_reference,equidistant
52,resnext-DINO-ImageNet,split_text,0.3720703125,0.4833570122718811,0.015104906633496284,2,1,34,1024,no_reference,equidistant
53,resnext-DINO-ImageNet,random_color,0.3330078125,0.4712893068790436,0.014727790839970112,2,1,34,1024,no_reference,equidistant
54,resnext-saycam(S)-s,different_shapes,0.173828125,0.37896162271499634,0.011842550709843636,2,4,34,1024,no_reference,equidistant
55,resnext-saycam(S)-s,split_text,0.2255859375,0.41796761751174927,0.013061488047242165,2,4,34,1024,no_reference,equidistant
56,resnext-saycam(S)-s,random_color,0.1435546875,0.35063761472702026,0.010957425460219383,2,4,34,1024,no_reference,equidistant
57,resnext-saycam(S)-h,different_shapes,0.0859375,0.2802717387676239,0.008758491836488247,2,4,34,1024,no_reference,equidistant
58,resnext-saycam(S)-h,split_text,0.09765625,0.2968493103981018,0.009276540949940681,2,4,34,1024,no_reference,equidistant
59,resnext-saycam(S)-h,random_color,0.0908203125,0.28735342621803284,0.008979794569313526,2,4,34,1024,no_reference,equidistant
60,resnext-saycam(S)-v,different_shapes,0.900390625,0.2994784712791443,0.009358702227473259,2,4,34,1024,no_reference,equidistant
61,resnext-saycam(S)-v,split_text,0.806640625,0.3949322998523712,0.0123416343703866,2,4,34,1024,no_reference,equidistant
62,resnext-saycam(S)-v,random_color,0.9423828125,0.23301813006401062,0.007281816564500332,2,4,34,1024,no_reference,equidistant
63,resnext-saycam(S)-hv,different_shapes,0.345703125,0.47559696435928345,0.014862405136227608,2,4,34,1024,no_reference,equidistant
64,resnext-saycam(S)-hv,split_text,0.3798828125,0.48535746335983276,0.015167420729994774,2,4,34,1024,no_reference,equidistant
65,resnext-saycam(S)-hv,random_color,0.3046875,0.46027493476867676,0.014383591711521149,2,4,34,1024,no_reference,equidistant
66,resnext-DINO-S,different_shapes,0.3623046875,0.48066622018814087,0.015020819380879402,2,4,34,1024,no_reference,equidistant
67,resnext-DINO-S,split_text,0.40625,0.49113228917121887,0.01534788403660059,2,4,34,1024,no_reference,equidistant
68,resnext-DINO-S,random_color,0.3349609375,0.4719768166542053,0.014749275520443916,2,4,34,1024,no_reference,equidistant
69,resnext-DINO-ImageNet,different_shapes,0.3388671875,0.47332465648651123,0.014791395515203476,2,4,34,1024,no_reference,equidistant
70,resnext-DINO-ImageNet,split_text,0.3349609375,0.4719768166542053,0.014749275520443916,2,4,34,1024,no_reference,equidistant
71,resnext-DINO-ImageNet,random_color,0.2490234375,0.4324474036693573,0.013513981364667416,2,4,34,1024,no_reference,equidistant
