,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
44,mobilenet-random,random_color,0.47265625,0.49925175309181213,0.01560161728411913,2,1,34,1024,no_reference,same_quadrant
45,resnext-saycam(S),different_shapes,0.27734375,0.4476875960826874,0.01399023737758398,2,1,34,1024,no_reference,same_quadrant
46,resnext-saycam(S),split_text,0.3193359375,0.46621936559677124,0.014569355174899101,2,1,34,1024,no_reference,same_quadrant
47,resnext-saycam(S),random_color,0.2802734375,0.4491327702999115,0.014035399071872234,2,1,34,1024,no_reference,same_quadrant
48,resnext-imagenet,different_shapes,0.4306640625,0.49516919255256653,0.015474037267267704,2,1,34,1024,no_reference,same_quadrant
49,resnext-imagenet,split_text,0.5068359375,0.4999532699584961,0.015623539686203003,2,1,34,1024,no_reference,same_quadrant
50,resnext-imagenet,random_color,0.388671875,0.487448513507843,0.015232766047120094,2,1,34,1024,no_reference,same_quadrant
51,resnext-random,different_shapes,0.5390625,0.49847179651260376,0.015577243641018867,2,1,34,1024,no_reference,same_quadrant
52,resnext-random,split_text,0.529296875,0.4991409480571747,0.015598154626786709,2,1,34,1024,no_reference,same_quadrant
53,resnext-random,random_color,0.515625,0.4997557997703552,0.0156173687428236,2,1,34,1024,no_reference,same_quadrant
54,mobilenet-saycam(S),different_shapes,0.4677734375,0.49896037578582764,0.015592511743307114,2,4,34,1024,no_reference,same_quadrant
55,mobilenet-saycam(S),split_text,0.419921875,0.4935458302497864,0.015423307195305824,2,4,34,1024,no_reference,same_quadrant
56,mobilenet-saycam(S),random_color,0.369140625,0.482572078704834,0.015080377459526062,2,4,34,1024,no_reference,same_quadrant
57,mobilenet-imagenet,different_shapes,0.4853515625,0.4997853636741638,0.01561829261481762,2,4,34,1024,no_reference,same_quadrant
58,mobilenet-imagenet,split_text,0.5419921875,0.49823352694511414,0.015569797717034817,2,4,34,1024,no_reference,same_quadrant
59,mobilenet-imagenet,random_color,0.60546875,0.48874977231025696,0.01527343038469553,2,4,34,1024,no_reference,same_quadrant
60,mobilenet-random,different_shapes,0.3408203125,0.47398504614830017,0.01481203269213438,2,4,34,1024,no_reference,same_quadrant
61,mobilenet-random,split_text,0.4501953125,0.4975133240222931,0.015547291375696659,2,4,34,1024,no_reference,same_quadrant
62,mobilenet-random,random_color,0.3837890625,0.4863075315952301,0.01519711036235094,2,4,34,1024,no_reference,same_quadrant
63,resnext-saycam(S),different_shapes,0.083984375,0.2773643732070923,0.008667636662721634,2,4,34,1024,no_reference,same_quadrant
64,resnext-saycam(S),split_text,0.0712890625,0.2573070824146271,0.008040846325457096,2,4,34,1024,no_reference,same_quadrant
65,resnext-saycam(S),random_color,0.0302734375,0.17133872210979462,0.005354335065931082,2,4,34,1024,no_reference,same_quadrant
66,resnext-imagenet,different_shapes,0.345703125,0.47559696435928345,0.014862405136227608,2,4,34,1024,no_reference,same_quadrant
67,resnext-imagenet,split_text,0.4287109375,0.4948917627334595,0.015465367585420609,2,4,34,1024,no_reference,same_quadrant
68,resnext-imagenet,random_color,0.310546875,0.46271753311157227,0.014459922909736633,2,4,34,1024,no_reference,same_quadrant
69,resnext-random,different_shapes,0.4296875,0.495031476020813,0.015469733625650406,2,4,34,1024,no_reference,same_quadrant
70,resnext-random,split_text,0.470703125,0.4991409480571747,0.015598154626786709,2,4,34,1024,no_reference,same_quadrant
71,resnext-random,random_color,0.478515625,0.49953821301460266,0.015610569156706333,2,4,34,1024,no_reference,same_quadrant
