,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
49,resnext-DINO-S,split_text,1.0,0.0,0.0,1,4,True,34,1024,no_reference,same_half
50,resnext-DINO-S,random_color,1.0,0.0,0.0,1,4,True,34,1024,no_reference,same_half
51,resnext-DINO-ImageNet,different_shapes,1.0,0.0,0.0,1,4,True,34,1024,no_reference,same_half
52,resnext-DINO-ImageNet,split_text,1.0,0.0,0.0,1,4,True,34,1024,no_reference,same_half
53,resnext-DINO-ImageNet,random_color,0.9990234375,0.0312347374856472,0.000976085546426475,1,4,True,34,1024,no_reference,same_half
54,resnext-saycam(S)-s,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
55,resnext-saycam(S)-s,split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
56,resnext-saycam(S)-s,random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
57,resnext-saycam(S)-h,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
58,resnext-saycam(S)-h,split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
59,resnext-saycam(S)-h,random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
60,resnext-saycam(S)-v,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
61,resnext-saycam(S)-v,split_text,0.0029296875,0.05404724180698395,0.0016889763064682484,1,4,False,34,1024,no_reference,same_half
62,resnext-saycam(S)-v,random_color,0.001953125,0.04415099322795868,0.0013797185383737087,1,4,False,34,1024,no_reference,same_half
63,resnext-saycam(S)-hv,different_shapes,0.001953125,0.04415099322795868,0.0013797185383737087,1,4,False,34,1024,no_reference,same_half
64,resnext-saycam(S)-hv,split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
65,resnext-saycam(S)-hv,random_color,0.0009765625,0.0312347374856472,0.000976085546426475,1,4,False,34,1024,no_reference,same_half
66,resnext-DINO-S,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
67,resnext-DINO-S,split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
68,resnext-DINO-S,random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
69,resnext-DINO-ImageNet,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
70,resnext-DINO-ImageNet,split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
71,resnext-DINO-ImageNet,random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
72,resnext-saycam(S)-s,different_shapes,0.7314453125,0.443207710981369,0.013850240968167782,2,1,True,34,1024,no_reference,same_half
73,resnext-saycam(S)-s,split_text,0.765625,0.42360755801200867,0.01323773618787527,2,1,True,34,1024,no_reference,same_half
