,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,same_horizontal_half,seed,n_examples,relation,triplet_generator
44,mobilenet-random,random_color,0.5615234375,0.49620044231414795,0.015506263822317123,1,4,True,34,1024,no_reference,same_half
45,resnext-saycam(S),different_shapes,0.4677734375,0.49896037578582764,0.015592511743307114,1,4,True,34,1024,no_reference,same_half
46,resnext-saycam(S),split_text,0.3671875,0.4820381999015808,0.0150636937469244,1,4,True,34,1024,no_reference,same_half
47,resnext-saycam(S),random_color,0.416015625,0.492896169424057,0.015403005294501781,1,4,True,34,1024,no_reference,same_half
48,resnext-imagenet,different_shapes,0.88671875,0.31693628430366516,0.009904258884489536,1,4,True,34,1024,no_reference,same_half
49,resnext-imagenet,split_text,0.9091796875,0.28735342621803284,0.008979794569313526,1,4,True,34,1024,no_reference,same_half
50,resnext-imagenet,random_color,0.953125,0.21137107908725739,0.006605346221476793,1,4,True,34,1024,no_reference,same_half
51,resnext-random,different_shapes,0.6416015625,0.4795299768447876,0.014985311776399612,1,4,True,34,1024,no_reference,same_half
52,resnext-random,split_text,0.677734375,0.4673440754413605,0.014604502357542515,1,4,True,34,1024,no_reference,same_half
53,resnext-random,random_color,0.65234375,0.47622618079185486,0.014882068149745464,1,4,True,34,1024,no_reference,same_half
54,mobilenet-saycam(S),different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
55,mobilenet-saycam(S),split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
56,mobilenet-saycam(S),random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
57,mobilenet-imagenet,different_shapes,0.0009765625,0.0312347374856472,0.000976085546426475,1,4,False,34,1024,no_reference,same_half
58,mobilenet-imagenet,split_text,0.009765625,0.09833747148513794,0.0030730459839105606,1,4,False,34,1024,no_reference,same_half
59,mobilenet-imagenet,random_color,0.0205078125,0.141729474067688,0.00442904606461525,1,4,False,34,1024,no_reference,same_half
60,mobilenet-random,different_shapes,0.3369140625,0.4726552367210388,0.014770476147532463,1,4,False,34,1024,no_reference,same_half
61,mobilenet-random,split_text,0.36328125,0.4809448719024658,0.015029527246952057,1,4,False,34,1024,no_reference,same_half
62,mobilenet-random,random_color,0.3212890625,0.4669715166091919,0.014592859894037247,1,4,False,34,1024,no_reference,same_half
63,resnext-saycam(S),different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
64,resnext-saycam(S),split_text,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
65,resnext-saycam(S),random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
66,resnext-imagenet,different_shapes,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
67,resnext-imagenet,split_text,0.001953125,0.04415099322795868,0.0013797185383737087,1,4,False,34,1024,no_reference,same_half
68,resnext-imagenet,random_color,0.0,0.0,0.0,1,4,False,34,1024,no_reference,same_half
69,resnext-random,different_shapes,0.3095703125,0.46231648325920105,0.014447390101850033,1,4,False,34,1024,no_reference,same_half
70,resnext-random,split_text,0.30078125,0.45859774947166443,0.014331179670989513,1,4,False,34,1024,no_reference,same_half
71,resnext-random,random_color,0.3173828125,0.4654577970504761,0.014545556157827377,1,4,False,34,1024,no_reference,same_half
72,mobilenet-saycam(S),different_shapes,0.734375,0.4416654407978058,0.01380204502493143,2,1,True,34,1024,no_reference,same_half
73,mobilenet-saycam(S),split_text,0.76171875,0.42603203654289246,0.01331350114196539,2,1,True,34,1024,no_reference,same_half
74,mobilenet-saycam(S),random_color,0.685546875,0.46429771184921265,0.014509303495287895,2,1,True,34,1024,no_reference,same_half
75,mobilenet-imagenet,different_shapes,0.853515625,0.3535911440849304,0.011049723252654076,2,1,True,34,1024,no_reference,same_half
76,mobilenet-imagenet,split_text,0.802734375,0.39793452620506287,0.012435453943908215,2,1,True,34,1024,no_reference,same_half
77,mobilenet-imagenet,random_color,0.91015625,0.28595778346061707,0.008936180733144283,2,1,True,34,1024,no_reference,same_half
78,mobilenet-random,different_shapes,0.626953125,0.48361441493034363,0.015112950466573238,2,1,True,34,1024,no_reference,same_half
79,mobilenet-random,split_text,0.5888671875,0.4920392632484436,0.015376226976513863,2,1,True,34,1024,no_reference,same_half
80,mobilenet-random,random_color,0.6220703125,0.48486992716789246,0.01515218522399664,2,1,True,34,1024,no_reference,same_half
81,resnext-saycam(S),different_shapes,0.4150390625,0.4927287697792053,0.015397774055600166,2,1,True,34,1024,no_reference,same_half
82,resnext-saycam(S),split_text,0.44921875,0.49741458892822266,0.015544205904006958,2,1,True,34,1024,no_reference,same_half
83,resnext-saycam(S),random_color,0.384765625,0.4865398705005646,0.015204370953142643,2,1,True,34,1024,no_reference,same_half
84,resnext-imagenet,different_shapes,0.7197265625,0.4491327702999115,0.014035399071872234,2,1,True,34,1024,no_reference,same_half
85,resnext-imagenet,split_text,0.72265625,0.4476875960826874,0.01399023737758398,2,1,True,34,1024,no_reference,same_half
86,resnext-imagenet,random_color,0.7587890625,0.4278179705142975,0.013369311578571796,2,1,True,34,1024,no_reference,same_half
87,resnext-random,different_shapes,0.6923828125,0.4615071415901184,0.0144220981746912,2,1,True,34,1024,no_reference,same_half
88,resnext-random,split_text,0.65625,0.4749588668346405,0.014842464588582516,2,1,True,34,1024,no_reference,same_half
89,resnext-random,random_color,0.6513671875,0.4765374958515167,0.014891796745359898,2,1,True,34,1024,no_reference,same_half
90,mobilenet-saycam(S),different_shapes,0.0224609375,0.14817707240581512,0.004630533512681723,2,1,False,34,1024,no_reference,same_half
91,mobilenet-saycam(S),split_text,0.04296875,0.20278668403625488,0.006337083876132965,2,1,False,34,1024,no_reference,same_half
92,mobilenet-saycam(S),random_color,0.0869140625,0.28170907497406006,0.008803408592939377,2,1,False,34,1024,no_reference,same_half
93,mobilenet-imagenet,different_shapes,0.1474609375,0.3545648157596588,0.011080150492489338,2,1,False,34,1024,no_reference,same_half
94,mobilenet-imagenet,split_text,0.2001953125,0.4001464247703552,0.0125045757740736,2,1,False,34,1024,no_reference,same_half
95,mobilenet-imagenet,random_color,0.185546875,0.38874056935310364,0.012148142792284489,2,1,False,34,1024,no_reference,same_half
96,mobilenet-random,different_shapes,0.3564453125,0.4789488911628723,0.01496715284883976,2,1,False,34,1024,no_reference,same_half
97,mobilenet-random,split_text,0.3583984375,0.4795299768447876,0.014985311776399612,2,1,False,34,1024,no_reference,same_half
98,mobilenet-random,random_color,0.3359375,0.4723171591758728,0.014759911224246025,2,1,False,34,1024,no_reference,same_half
99,resnext-saycam(S),different_shapes,0.060546875,0.2384972721338272,0.0074530397541821,2,1,False,34,1024,no_reference,same_half
100,resnext-saycam(S),split_text,0.0634765625,0.24381814897060394,0.007619317155331373,2,1,False,34,1024,no_reference,same_half
101,resnext-saycam(S),random_color,0.0185546875,0.13494595885276794,0.004217061214148998,2,1,False,34,1024,no_reference,same_half
102,resnext-imagenet,different_shapes,0.16796875,0.37383854389190674,0.011682454496622086,2,1,False,34,1024,no_reference,same_half
103,resnext-imagenet,split_text,0.251953125,0.43413448333740234,0.013566702604293823,2,1,False,34,1024,no_reference,same_half
104,resnext-imagenet,random_color,0.0947265625,0.29283687472343445,0.009151152335107327,2,1,False,34,1024,no_reference,same_half
105,resnext-random,different_shapes,0.3916015625,0.488108366727829,0.015253386460244656,2,1,False,34,1024,no_reference,same_half
106,resnext-random,split_text,0.341796875,0.474311888217926,0.014822246506810188,2,1,False,34,1024,no_reference,same_half
107,resnext-random,random_color,0.3505859375,0.477153480052948,0.014911046251654625,2,1,False,34,1024,no_reference,same_half
108,mobilenet-saycam(S),different_shapes,0.935546875,0.24555838108062744,0.0076736994087696075,2,4,True,34,1024,no_reference,same_half
109,mobilenet-saycam(S),split_text,0.96484375,0.18417461216449738,0.005755456630140543,2,4,True,34,1024,no_reference,same_half
110,mobilenet-saycam(S),random_color,0.8779296875,0.32736700773239136,0.01023021899163723,2,4,True,34,1024,no_reference,same_half
111,mobilenet-imagenet,different_shapes,0.9111328125,0.2845519483089447,0.008892248384654522,2,4,True,34,1024,no_reference,same_half
112,mobilenet-imagenet,split_text,0.9697265625,0.17133872210979462,0.005354335065931082,2,4,True,34,1024,no_reference,same_half
113,mobilenet-imagenet,random_color,0.9736328125,0.16022472083568573,0.005007022526115179,2,4,True,34,1024,no_reference,same_half
114,mobilenet-random,different_shapes,0.4833984375,0.49972429871559143,0.015616384334862232,2,4,True,34,1024,no_reference,same_half
115,mobilenet-random,split_text,0.5341796875,0.4988303780555725,0.015588449314236641,2,4,True,34,1024,no_reference,same_half
116,mobilenet-random,random_color,0.5703125,0.495031476020813,0.015469733625650406,2,4,True,34,1024,no_reference,same_half
117,resnext-saycam(S),different_shapes,0.44921875,0.49741458892822266,0.015544205904006958,2,4,True,34,1024,no_reference,same_half
118,resnext-saycam(S),split_text,0.5576171875,0.4966691732406616,0.015520911663770676,2,4,True,34,1024,no_reference,same_half
119,resnext-saycam(S),random_color,0.44921875,0.49741458892822266,0.015544205904006958,2,4,True,34,1024,no_reference,same_half
120,resnext-imagenet,different_shapes,0.75390625,0.4307337999343872,0.0134604312479496,2,4,True,34,1024,no_reference,same_half
121,resnext-imagenet,split_text,0.8935546875,0.3084067106246948,0.009637709707021713,2,4,True,34,1024,no_reference,same_half
122,resnext-imagenet,random_color,0.9228515625,0.2668268382549286,0.008338338695466518,2,4,True,34,1024,no_reference,same_half
123,resnext-random,different_shapes,0.642578125,0.4792405366897583,0.014976266771554947,2,4,True,34,1024,no_reference,same_half
124,resnext-random,split_text,0.66015625,0.47365596890449524,0.014801749028265476,2,4,True,34,1024,no_reference,same_half
