,model_name,condition,acc_mean,acc_std,acc_sem,n_target_types,n_habituation_stimuli,seed,n_examples,relation,triplet_generator
50,resnext-DINO-S,random_color,0.2353515625,0.4242183566093445,0.013256823644042015,2,1,34,1024,no_reference,diagonal
51,resnext-DINO-ImageNet,different_shapes,0.2666015625,0.4421822726726532,0.013818196021020412,2,1,34,1024,no_reference,diagonal
52,resnext-DINO-ImageNet,split_text,0.24609375,0.4307337999343872,0.0134604312479496,2,1,34,1024,no_reference,diagonal
53,resnext-DINO-ImageNet,random_color,0.1123046875,0.3157409429550171,0.009866904467344284,2,1,34,1024,no_reference,diagonal
54,resnext-saycam(S)-s,different_shapes,0.185546875,0.38874056935310364,0.012148142792284489,2,4,34,1024,no_reference,diagonal
55,resnext-saycam(S)-s,split_text,0.22265625,0.4160293936729431,0.013000918552279472,2,4,34,1024,no_reference,diagonal
56,resnext-saycam(S)-s,random_color,0.1865234375,0.3895284831523895,0.012172765098512173,2,4,34,1024,no_reference,diagonal
57,resnext-saycam(S)-h,different_shapes,0.009765625,0.09833747148513794,0.0030730459839105606,2,4,34,1024,no_reference,diagonal
58,resnext-saycam(S)-h,split_text,0.0126953125,0.11195597797632217,0.003498624311760068,2,4,34,1024,no_reference,diagonal
59,resnext-saycam(S)-h,random_color,0.0048828125,0.06970632076263428,0.002178322523832321,2,4,34,1024,no_reference,diagonal
60,resnext-saycam(S)-v,different_shapes,0.974609375,0.157308429479599,0.004915888421237469,2,4,34,1024,no_reference,diagonal
61,resnext-saycam(S)-v,split_text,0.87109375,0.335096150636673,0.01047175470739603,2,4,34,1024,no_reference,diagonal
62,resnext-saycam(S)-v,random_color,0.994140625,0.07632196694612503,0.002385061467066407,2,4,34,1024,no_reference,diagonal
63,resnext-saycam(S)-hv,different_shapes,0.357421875,0.4792405366897583,0.014976266771554947,2,4,34,1024,no_reference,diagonal
64,resnext-saycam(S)-hv,split_text,0.3671875,0.4820381999015808,0.0150636937469244,2,4,34,1024,no_reference,diagonal
65,resnext-saycam(S)-hv,random_color,0.3427734375,0.4746364951133728,0.0148323904722929,2,4,34,1024,no_reference,diagonal
66,resnext-DINO-S,different_shapes,0.3349609375,0.4719768166542053,0.014749275520443916,2,4,34,1024,no_reference,diagonal
67,resnext-DINO-S,split_text,0.38671875,0.4869983196258545,0.015218697488307953,2,4,34,1024,no_reference,diagonal
68,resnext-DINO-S,random_color,0.2333984375,0.42299363017082214,0.013218550942838192,2,4,34,1024,no_reference,diagonal
69,resnext-DINO-ImageNet,different_shapes,0.2529296875,0.4346909821033478,0.013584093190729618,2,4,34,1024,no_reference,diagonal
70,resnext-DINO-ImageNet,split_text,0.1826171875,0.3863523602485657,0.012073511257767677,2,4,34,1024,no_reference,diagonal
71,resnext-DINO-ImageNet,random_color,0.0693359375,0.25402453541755676,0.007938266731798649,2,4,34,1024,no_reference,diagonal
