,dino,model,above_below-1,above_below-2,between-1,between-2,Mean diff by relation,Mean diff by targets
0,ImageNet,resnext,0.71630859375,0.64111328125,0.42138671875,0.304443359375,0.3157958984375,0.0960693359375
1,ImageNet,vitb14,0.997802734375,0.7978515625,0.916259765625,0.46484375,0.207275390625,0.32568359375
2,saycam(S),resnext,0.7880859375,0.7236328125,0.496337890625,0.349853515625,0.332763671875,0.10546875
3,saycam(S),vitb14,0.99755859375,0.89697265625,0.9365234375,0.5458984375,0.2060546875,0.24560546875
