,training,model,above_below-1,above_below-2,between-1,between-2,Mean diff by relation,Mean diff by targets
0,random,mobilenet,0.4951714409722222,0.4947374131944444,0.4734700520833333,0.4742838541666667,0.021077473958333315,-0.00018988715277779011
1,random,resnext,0.5796983506944444,0.5647786458333334,0.5078125,0.5078125,0.0644259982638889,0.007459852430555525
2,ImageNet,mobilenet,0.8849283854166666,0.7951931423611112,0.6827799479166666,0.6136067708333334,0.1918674045138889,0.07945421006944436
3,ImageNet,resnext,0.8901909722222222,0.7821180555555556,0.6619466145833334,0.580078125,0.2151421440972222,0.094970703125
4,saycam(S),mobilenet,0.9943576388888888,0.98828125,0.93212890625,0.931640625,0.05943467881944442,0.0032823350694444198
5,saycam(S),resnext,0.9969075520833334,0.9880099826388888,0.9176432291666666,0.9069010416666666,0.08018663194444448,0.009819878472222265
