,training,model,above_below-1,above_below-2,between-1,between-2,Mean diff by relation,Mean diff by targets
0,random,mobilenet,0.585400390625,0.5387939453125,0.470068359375,0.42919921875,0.11246337890625002,0.04373779296875002
1,random,resnext,0.564697265625,0.5427001953125,0.5645263671875,0.5412353515625,0.0008178710937499778,0.02264404296875
2,ImageNet,mobilenet,0.75390625,0.6025390625,0.52978515625,0.306884765625,0.2598876953125,0.1871337890625
3,ImageNet,resnext,0.791259765625,0.62939453125,0.413330078125,0.16357421875,0.421875,0.205810546875
4,saycam(S),mobilenet,0.946044921875,0.841796875,0.64501953125,0.581298828125,0.28076171875,0.083984375
5,saycam(S),resnext,0.84521484375,0.789306640625,0.716064453125,0.60498046875,0.15673828125,0.08349609375
