,dino,model,above_below-1,above_below-2,between-1,between-2,Mean diff by relation,Mean diff by targets
0,ImageNet,resnext,0.9288194444444444,0.8249782986111112,0.6380208333333334,0.5706380208333334,0.2725694444444444,0.08561197916666663
1,ImageNet,vitb14,0.9219292534722222,0.7711588541666666,0.7604166666666666,0.5906575520833334,0.17100694444444442,0.16026475694444442
2,saycam(S),resnext,0.9944118923611112,0.9773763020833334,0.78173828125,0.75927734375,0.21538628472222227,0.019748263888888895
3,saycam(S),vitb14,0.9694010416666666,0.8860677083333334,0.90625,0.7277018229166666,0.11075846354166669,0.13094075520833331
