,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
0,resnext-saycam(S)-v,different_shapes,0.3740234375,0.483869731426239,0.01512092910706997,above_below,0,0,1,1,0,34,1024,0
1,resnext-saycam(S)-v,split_text,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,1,1,0,34,1024,0
2,resnext-saycam(S)-v,random_color,0.37890625,0.485114723443985,0.01515983510762453,above_below,0,0,1,1,0,34,1024,0
3,resnext-saycam(S)-v,different_shapes,0.55078125,0.49741458892822266,0.015544205904006958,above_below,0,0,1,1,30,34,1024,0
4,resnext-saycam(S)-v,split_text,0.802734375,0.39793452620506287,0.012435453943908215,above_below,0,0,1,1,30,34,1024,0
5,resnext-saycam(S)-v,random_color,0.55078125,0.49741458892822266,0.015544205904006958,above_below,0,0,1,1,30,34,1024,0
6,resnext-saycam(S)-v,different_shapes,0.62890625,0.48309749364852905,0.015096796676516533,above_below,0,0,1,1,45,34,1024,0
7,resnext-saycam(S)-v,split_text,0.8310546875,0.37470361590385437,0.011709487996995449,above_below,0,0,1,1,45,34,1024,0
8,resnext-saycam(S)-v,random_color,0.705078125,0.45600762963294983,0.014250238426029682,above_below,0,0,1,1,45,34,1024,0
9,resnext-saycam(S)-v,different_shapes,0.705078125,0.45600762963294983,0.014250238426029682,above_below,0,0,1,1,60,34,1024,0
10,resnext-saycam(S)-v,split_text,0.853515625,0.3535911440849304,0.011049723252654076,above_below,0,0,1,1,60,34,1024,0
11,resnext-saycam(S)-v,random_color,0.7578125,0.4284071922302246,0.013387724757194519,above_below,0,0,1,1,60,34,1024,0
12,resnext-saycam(S)-v,different_shapes,0.951171875,0.2155085653066635,0.006734642665833235,above_below,0,0,1,1,90,34,1024,0
13,resnext-saycam(S)-v,split_text,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,1,90,34,1024,0
14,resnext-saycam(S)-v,random_color,0.8974609375,0.3033559024333954,0.009479871951043606,above_below,0,0,1,1,90,34,1024,0
15,resnext-saycam(S)-v,different_shapes,0.7734375,0.4186071455478668,0.013081473298370838,above_below,0,0,1,1,120,34,1024,0
16,resnext-saycam(S)-v,split_text,0.89453125,0.3071564733982086,0.00959863979369402,above_below,0,0,1,1,120,34,1024,0
17,resnext-saycam(S)-v,random_color,0.78125,0.4133986532688141,0.01291870791465044,above_below,0,0,1,1,120,34,1024,0
18,resnext-saycam(S)-v,different_shapes,0.7138671875,0.4519522488117218,0.014123507775366306,above_below,0,0,1,1,135,34,1024,0
19,resnext-saycam(S)-v,split_text,0.9169921875,0.27589401602745056,0.00862168800085783,above_below,0,0,1,1,135,34,1024,0
20,resnext-saycam(S)-v,random_color,0.7490234375,0.4335750639438629,0.013549220748245716,above_below,0,0,1,1,135,34,1024,0
21,resnext-saycam(S)-v,different_shapes,0.587890625,0.4922146201133728,0.0153817068785429,above_below,0,0,1,1,150,34,1024,0
22,resnext-saycam(S)-v,split_text,0.796875,0.4023247957229614,0.012572649866342545,above_below,0,0,1,1,150,34,1024,0
23,resnext-saycam(S)-v,random_color,0.607421875,0.48832422494888306,0.015260132029652596,above_below,0,0,1,1,150,34,1024,0
24,resnext-saycam(S)-v,different_shapes,0.2490234375,0.4324474036693573,0.013513981364667416,above_below,0,0,1,4,0,34,1024,0
25,resnext-saycam(S)-v,split_text,0.4130859375,0.4923880100250244,0.015387125313282013,above_below,0,0,1,4,0,34,1024,0
26,resnext-saycam(S)-v,random_color,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,1,4,0,34,1024,0
27,resnext-saycam(S)-v,different_shapes,0.5390625,0.49847179651260376,0.015577243641018867,above_below,0,0,1,4,30,34,1024,0
28,resnext-saycam(S)-v,split_text,0.802734375,0.39793452620506287,0.012435453943908215,above_below,0,0,1,4,30,34,1024,0
29,resnext-saycam(S)-v,random_color,0.578125,0.49385878443717957,0.015433087013661861,above_below,0,0,1,4,30,34,1024,0
30,resnext-saycam(S)-v,different_shapes,0.6630859375,0.4726552367210388,0.014770476147532463,above_below,0,0,1,4,45,34,1024,0
31,resnext-saycam(S)-v,split_text,0.8642578125,0.34251460433006287,0.010703581385314465,above_below,0,0,1,4,45,34,1024,0
32,resnext-saycam(S)-v,random_color,0.736328125,0.4406234323978424,0.013769482262432575,above_below,0,0,1,4,45,34,1024,0
33,resnext-saycam(S)-v,different_shapes,0.7333984375,0.4421822726726532,0.013818196021020412,above_below,0,0,1,4,60,34,1024,0
34,resnext-saycam(S)-v,split_text,0.8759765625,0.329608291387558,0.010300259105861187,above_below,0,0,1,4,60,34,1024,0
35,resnext-saycam(S)-v,random_color,0.7880859375,0.4086642861366272,0.0127707589417696,above_below,0,0,1,4,60,34,1024,0
36,resnext-saycam(S)-v,different_shapes,0.95703125,0.20278668403625488,0.006337083876132965,above_below,0,0,1,4,90,34,1024,0
37,resnext-saycam(S)-v,split_text,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,4,90,34,1024,0
38,resnext-saycam(S)-v,random_color,0.8974609375,0.3033559024333954,0.009479871951043606,above_below,0,0,1,4,90,34,1024,0
39,resnext-saycam(S)-v,different_shapes,0.76171875,0.42603203654289246,0.01331350114196539,above_below,0,0,1,4,120,34,1024,0
40,resnext-saycam(S)-v,split_text,0.9287109375,0.2573070824146271,0.008040846325457096,above_below,0,0,1,4,120,34,1024,0
41,resnext-saycam(S)-v,random_color,0.78125,0.4133986532688141,0.01291870791465044,above_below,0,0,1,4,120,34,1024,0
42,resnext-saycam(S)-v,different_shapes,0.7255859375,0.4462185502052307,0.01394432969391346,above_below,0,0,1,4,135,34,1024,0
43,resnext-saycam(S)-v,split_text,0.9091796875,0.28735342621803284,0.008979794569313526,above_below,0,0,1,4,135,34,1024,0
44,resnext-saycam(S)-v,random_color,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,1,4,135,34,1024,0
45,resnext-saycam(S)-v,different_shapes,0.5830078125,0.4930615723133087,0.015408174134790897,above_below,0,0,1,4,150,34,1024,0
46,resnext-saycam(S)-v,split_text,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,4,150,34,1024,0
47,resnext-saycam(S)-v,random_color,0.58984375,0.49186187982559204,0.015370683744549751,above_below,0,0,1,4,150,34,1024,0
48,resnext-saycam(S)-v,different_shapes,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,2,1,0,34,1024,0
49,resnext-saycam(S)-v,split_text,0.529296875,0.4991409480571747,0.015598154626786709,above_below,0,0,2,1,0,34,1024,0
50,resnext-saycam(S)-v,random_color,0.369140625,0.482572078704834,0.015080377459526062,above_below,0,0,2,1,0,34,1024,0
51,resnext-saycam(S)-v,different_shapes,0.5185546875,0.4996556043624878,0.015614237636327744,above_below,0,0,2,1,30,34,1024,0
52,resnext-saycam(S)-v,split_text,0.6904296875,0.46231648325920105,0.014447390101850033,above_below,0,0,2,1,30,34,1024,0
53,resnext-saycam(S)-v,random_color,0.515625,0.4997557997703552,0.0156173687428236,above_below,0,0,2,1,30,34,1024,0
54,resnext-saycam(S)-v,different_shapes,0.5322265625,0.49896037578582764,0.015592511743307114,above_below,0,0,2,1,45,34,1024,0
55,resnext-saycam(S)-v,split_text,0.7529296875,0.43130797147750854,0.013478374108672142,above_below,0,0,2,1,45,34,1024,0
56,resnext-saycam(S)-v,random_color,0.6591796875,0.47398504614830017,0.01481203269213438,above_below,0,0,2,1,45,34,1024,0
57,resnext-saycam(S)-v,different_shapes,0.5390625,0.49847179651260376,0.015577243641018867,above_below,0,0,2,1,60,34,1024,0
58,resnext-saycam(S)-v,split_text,0.7626953125,0.425430566072464,0.0132947051897645,above_below,0,0,2,1,60,34,1024,0
59,resnext-saycam(S)-v,random_color,0.732421875,0.44269636273384094,0.01383426133543253,above_below,0,0,2,1,60,34,1024,0
60,resnext-saycam(S)-v,different_shapes,0.734375,0.4416654407978058,0.01380204502493143,above_below,0,0,2,1,90,34,1024,0
61,resnext-saycam(S)-v,split_text,0.9208984375,0.2698972225189209,0.008434288203716278,above_below,0,0,2,1,90,34,1024,0
62,resnext-saycam(S)-v,random_color,0.873046875,0.33292046189308167,0.010403764434158802,above_below,0,0,2,1,90,34,1024,0
63,resnext-saycam(S)-v,different_shapes,0.5830078125,0.4930615723133087,0.015408174134790897,above_below,0,0,2,1,120,34,1024,0
64,resnext-saycam(S)-v,split_text,0.83203125,0.37383854389190674,0.011682454496622086,above_below,0,0,2,1,120,34,1024,0
65,resnext-saycam(S)-v,random_color,0.734375,0.4416654407978058,0.01380204502493143,above_below,0,0,2,1,120,34,1024,0
