,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
40,resnext-saycam(S)-v,split_text,0.0791015625,0.2698972225189209,0.008434288203716278,above_below,0,0,1,0,4,45,34,1024,5
41,resnext-saycam(S)-v,random_color,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,1,0,4,45,34,1024,5
42,resnext-saycam(S)-h,different_shapes,0.232421875,0.4223765432834625,0.013199266977608204,above_below,0,0,1,0,4,60,34,1024,5
43,resnext-saycam(S)-h,split_text,0.0439453125,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,0,4,60,34,1024,5
44,resnext-saycam(S)-h,random_color,0.25390625,0.435244619846344,0.01360139437019825,above_below,0,0,1,0,4,60,34,1024,5
45,resnext-saycam(S)-v,different_shapes,0.830078125,0.3755641579627991,0.011736379936337471,above_below,0,0,1,0,4,60,34,1024,5
46,resnext-saycam(S)-v,split_text,0.130859375,0.33724650740623474,0.010538953356444836,above_below,0,0,1,0,4,60,34,1024,5
47,resnext-saycam(S)-v,random_color,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,0,4,60,34,1024,5
48,resnext-saycam(S)-h,different_shapes,0.2607421875,0.43903952836990356,0.013719985261559486,above_below,0,0,1,1,1,,34,1024,5
49,resnext-saycam(S)-h,split_text,0.0625,0.24206146597862244,0.007564420811831951,above_below,0,0,1,1,1,,34,1024,5
50,resnext-saycam(S)-h,random_color,0.2841796875,0.45102283358573914,0.014094463549554348,above_below,0,0,1,1,1,,34,1024,5
51,resnext-saycam(S)-v,different_shapes,0.826171875,0.37896162271499634,0.011842550709843636,above_below,0,0,1,1,1,,34,1024,5
52,resnext-saycam(S)-v,split_text,0.1845703125,0.387948602437973,0.012123393826186657,above_below,0,0,1,1,1,,34,1024,5
53,resnext-saycam(S)-v,random_color,0.830078125,0.3755641579627991,0.011736379936337471,above_below,0,0,1,1,1,,34,1024,5
54,resnext-saycam(S)-h,different_shapes,0.341796875,0.474311888217926,0.014822246506810188,above_below,0,0,1,1,1,30,34,1024,5
55,resnext-saycam(S)-h,split_text,0.068359375,0.25236159563064575,0.00788629986345768,above_below,0,0,1,1,1,30,34,1024,5
56,resnext-saycam(S)-h,random_color,0.3544921875,0.4783591628074646,0.014948723837733269,above_below,0,0,1,1,1,30,34,1024,5
57,resnext-saycam(S)-v,different_shapes,0.6875,0.4635123908519745,0.014484762214124203,above_below,0,0,1,1,1,30,34,1024,5
58,resnext-saycam(S)-v,split_text,0.14453125,0.3516275882720947,0.01098836213350296,above_below,0,0,1,1,1,30,34,1024,5
59,resnext-saycam(S)-v,random_color,0.6826171875,0.4654577970504761,0.014545556157827377,above_below,0,0,1,1,1,30,34,1024,5
60,resnext-saycam(S)-h,different_shapes,0.5361328125,0.49869272112846375,0.015584147535264492,above_below,0,0,1,1,1,45,34,1024,5
61,resnext-saycam(S)-h,split_text,0.111328125,0.31453803181648254,0.00982931349426508,above_below,0,0,1,1,1,45,34,1024,5
62,resnext-saycam(S)-h,random_color,0.5439453125,0.4980650544166565,0.015564532950520515,above_below,0,0,1,1,1,45,34,1024,5
63,resnext-saycam(S)-v,different_shapes,0.53515625,0.4987625181674957,0.015586328692734241,above_below,0,0,1,1,1,45,34,1024,5
64,resnext-saycam(S)-v,split_text,0.107421875,0.30964887142181396,0.009676527231931686,above_below,0,0,1,1,1,45,34,1024,5
65,resnext-saycam(S)-v,random_color,0.5419921875,0.49823352694511414,0.015569797717034817,above_below,0,0,1,1,1,45,34,1024,5
66,resnext-saycam(S)-h,different_shapes,0.8173828125,0.3863523602485657,0.012073511257767677,above_below,0,0,1,1,1,60,34,1024,5
67,resnext-saycam(S)-h,split_text,0.1640625,0.370332270860672,0.011572883464396,above_below,0,0,1,1,1,60,34,1024,5
68,resnext-saycam(S)-h,random_color,0.814453125,0.38874056935310364,0.012148142792284489,above_below,0,0,1,1,1,60,34,1024,5
69,resnext-saycam(S)-v,different_shapes,0.45703125,0.4981502592563629,0.015567195601761341,above_below,0,0,1,1,1,60,34,1024,5
70,resnext-saycam(S)-v,split_text,0.087890625,0.2831357717514038,0.008847992867231369,above_below,0,0,1,1,1,60,34,1024,5
71,resnext-saycam(S)-v,random_color,0.4814453125,0.4996556043624878,0.015614237636327744,above_below,0,0,1,1,1,60,34,1024,5
72,resnext-saycam(S)-h,different_shapes,0.1923828125,0.39417213201522827,0.012317879125475883,above_below,0,0,1,1,4,,34,1024,5
73,resnext-saycam(S)-h,split_text,0.04296875,0.20278668403625488,0.006337083876132965,above_below,0,0,1,1,4,,34,1024,5
74,resnext-saycam(S)-h,random_color,0.2236328125,0.4166787564754486,0.013021211139857769,above_below,0,0,1,1,4,,34,1024,5
75,resnext-saycam(S)-v,different_shapes,0.8701171875,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,4,,34,1024,5
76,resnext-saycam(S)-v,split_text,0.1650390625,0.3712157905101776,0.01160049345344305,above_below,0,0,1,1,4,,34,1024,5
77,resnext-saycam(S)-v,random_color,0.8701171875,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,4,,34,1024,5
78,resnext-saycam(S)-h,different_shapes,0.2236328125,0.4166787564754486,0.013021211139857769,above_below,0,0,1,1,4,30,34,1024,5
79,resnext-saycam(S)-h,split_text,0.044921875,0.20713256299495697,0.006472892593592405,above_below,0,0,1,1,4,30,34,1024,5
80,resnext-saycam(S)-h,random_color,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,1,1,4,30,34,1024,5
81,resnext-saycam(S)-v,different_shapes,0.716796875,0.450554221868515,0.014079819433391094,above_below,0,0,1,1,4,30,34,1024,5
82,resnext-saycam(S)-v,split_text,0.1298828125,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,4,30,34,1024,5
83,resnext-saycam(S)-v,random_color,0.6953125,0.46027493476867676,0.014383591711521149,above_below,0,0,1,1,4,30,34,1024,5
84,resnext-saycam(S)-h,different_shapes,0.484375,0.4997557997703552,0.0156173687428236,above_below,0,0,1,1,4,45,34,1024,5
85,resnext-saycam(S)-h,split_text,0.095703125,0.2941836714744568,0.009193239733576775,above_below,0,0,1,1,4,45,34,1024,5
86,resnext-saycam(S)-h,random_color,0.4853515625,0.4997853636741638,0.01561829261481762,above_below,0,0,1,1,4,45,34,1024,5
87,resnext-saycam(S)-v,different_shapes,0.4853515625,0.4997853636741638,0.01561829261481762,above_below,0,0,1,1,4,45,34,1024,5
88,resnext-saycam(S)-v,split_text,0.0712890625,0.2573070824146271,0.008040846325457096,above_below,0,0,1,1,4,45,34,1024,5
89,resnext-saycam(S)-v,random_color,0.4697265625,0.49908268451690674,0.015596333891153336,above_below,0,0,1,1,4,45,34,1024,5
90,resnext-saycam(S)-h,different_shapes,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,1,1,4,60,34,1024,5
91,resnext-saycam(S)-h,split_text,0.1357421875,0.34251460433006287,0.010703581385314465,above_below,0,0,1,1,4,60,34,1024,5
92,resnext-saycam(S)-h,random_color,0.806640625,0.3949322998523712,0.0123416343703866,above_below,0,0,1,1,4,60,34,1024,5
93,resnext-saycam(S)-v,different_shapes,0.326171875,0.46881103515625,0.014650344848632812,above_below,0,0,1,1,4,60,34,1024,5
94,resnext-saycam(S)-v,split_text,0.0498046875,0.21754121780395508,0.006798163056373596,above_below,0,0,1,1,4,60,34,1024,5
95,resnext-saycam(S)-v,random_color,0.3212890625,0.4669715166091919,0.014592859894037247,above_below,0,0,1,1,4,60,34,1024,5
96,resnext-saycam(S)-h,different_shapes,0.8564453125,0.35063761472702026,0.010957425460219383,above_below,0,0,2,0,1,,34,1024,5
97,resnext-saycam(S)-h,split_text,0.1005859375,0.30077967047691345,0.009399364702403545,above_below,0,0,2,0,1,,34,1024,5
98,resnext-saycam(S)-h,random_color,0.8505859375,0.3564961552619934,0.011140504851937294,above_below,0,0,2,0,1,,34,1024,5
99,resnext-saycam(S)-v,different_shapes,0.361328125,0.48038536310195923,0.015012042596936226,above_below,0,0,2,0,1,,34,1024,5
