,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
47,resnext-saycam(S),random_color,0.8623046875,0.34457990527153015,0.010768122039735317,above_below,0,0,1,1,45,34,1024,False,1.3
48,resnext-imagenet,different_shapes,0.4306640625,0.49516919255256653,0.015474037267267704,above_below,0,0,1,1,45,34,1024,False,1.3
49,resnext-imagenet,split_text,0.27734375,0.4476875960826874,0.01399023737758398,above_below,0,0,1,1,45,34,1024,False,1.3
50,resnext-imagenet,random_color,0.396484375,0.48916715383529663,0.01528647355735302,above_below,0,0,1,1,45,34,1024,False,1.3
51,resnext-random,different_shapes,0.421875,0.49385878443717957,0.015433087013661861,above_below,0,0,1,1,45,34,1024,False,1.3
52,resnext-random,split_text,0.3916015625,0.488108366727829,0.015253386460244656,above_below,0,0,1,1,45,34,1024,False,1.3
53,resnext-random,random_color,0.416015625,0.492896169424057,0.015403005294501781,above_below,0,0,1,1,45,34,1024,False,1.3
54,mobilenet-saycam(S),different_shapes,0.9072265625,0.2901146709918976,0.0090660834684968,above_below,0,0,1,1,60,34,1024,False,1.3
55,mobilenet-saycam(S),split_text,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,1,60,34,1024,False,1.3
56,mobilenet-saycam(S),random_color,0.861328125,0.3456037938594818,0.010800118558108807,above_below,0,0,1,1,60,34,1024,False,1.3
57,mobilenet-imagenet,different_shapes,0.41796875,0.49322497844696045,0.015413280576467514,above_below,0,0,1,1,60,34,1024,False,1.3
58,mobilenet-imagenet,split_text,0.525390625,0.49935489892959595,0.015604840591549873,above_below,0,0,1,1,60,34,1024,False,1.3
59,mobilenet-imagenet,random_color,0.455078125,0.49797794222831726,0.015561810694634914,above_below,0,0,1,1,60,34,1024,False,1.3
60,mobilenet-random,different_shapes,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,1,1,60,34,1024,False,1.3
61,mobilenet-random,split_text,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,60,34,1024,False,1.3
