,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-saycam(S)-s,different_shapes,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,1,0,34,1024,False,1.3
1,resnext-saycam(S)-s,split_text,0.9912109375,0.09333710372447968,0.00291678449138999,above_below,0,0,1,1,0,34,1024,False,1.3
2,resnext-saycam(S)-s,random_color,0.990234375,0.09833747148513794,0.0030730459839105606,above_below,0,0,1,1,0,34,1024,False,1.3
3,resnext-saycam(S)-h,different_shapes,0.998046875,0.04415099322795868,0.0013797185383737087,above_below,0,0,1,1,0,34,1024,False,1.3
4,resnext-saycam(S)-h,split_text,0.9853515625,0.12014100700616837,0.0037544064689427614,above_below,0,0,1,1,0,34,1024,False,1.3
5,resnext-saycam(S)-h,random_color,0.9833984375,0.12777304649353027,0.003992907702922821,above_below,0,0,1,1,0,34,1024,False,1.3
6,resnext-saycam(S)-v,different_shapes,0.3818359375,0.4858366549015045,0.015182395465672016,above_below,0,0,1,1,0,34,1024,False,1.3
7,resnext-saycam(S)-v,split_text,0.4345703125,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,0,34,1024,False,1.3
8,resnext-saycam(S)-v,random_color,0.3388671875,0.47332465648651123,0.014791395515203476,above_below,0,0,1,1,0,34,1024,False,1.3
9,resnext-saycam(S)-hv,different_shapes,0.70703125,0.45512422919273376,0.01422263216227293,above_below,0,0,1,1,0,34,1024,False,1.3
10,resnext-saycam(S)-hv,split_text,0.6123046875,0.48722442984580994,0.01522576343268156,above_below,0,0,1,1,0,34,1024,False,1.3
11,resnext-saycam(S)-hv,random_color,0.6328125,0.4820381999015808,0.0150636937469244,above_below,0,0,1,1,0,34,1024,False,1.3
12,resnext-saycam(S)-s,different_shapes,0.9560546875,0.20497345924377441,0.0064054206013679504,above_below,0,0,1,1,30,34,1024,False,1.3
13,resnext-saycam(S)-s,split_text,0.9375,0.24206146597862244,0.007564420811831951,above_below,0,0,1,1,30,34,1024,False,1.3
14,resnext-saycam(S)-s,random_color,0.9716796875,0.16588632762432098,0.005183947738260031,above_below,0,0,1,1,30,34,1024,False,1.3
15,resnext-saycam(S)-h,different_shapes,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,30,34,1024,False,1.3
16,resnext-saycam(S)-h,split_text,0.92578125,0.26212653517723083,0.008191454224288464,above_below,0,0,1,1,30,34,1024,False,1.3
17,resnext-saycam(S)-h,random_color,0.9609375,0.19374370574951172,0.006054490804672241,above_below,0,0,1,1,30,34,1024,False,1.3
18,resnext-saycam(S)-v,different_shapes,0.603515625,0.48916715383529663,0.01528647355735302,above_below,0,0,1,1,30,34,1024,False,1.3
19,resnext-saycam(S)-v,split_text,0.78125,0.4133986532688141,0.01291870791465044,above_below,0,0,1,1,30,34,1024,False,1.3
20,resnext-saycam(S)-v,random_color,0.4853515625,0.4997853636741638,0.01561829261481762,above_below,0,0,1,1,30,34,1024,False,1.3
21,resnext-saycam(S)-hv,different_shapes,0.4775390625,0.4994952380657196,0.015609226189553738,above_below,0,0,1,1,30,34,1024,False,1.3
22,resnext-saycam(S)-hv,split_text,0.5400390625,0.49839428067207336,0.015574821271002293,above_below,0,0,1,1,30,34,1024,False,1.3
23,resnext-saycam(S)-hv,random_color,0.42578125,0.4944608807563782,0.015451902523636818,above_below,0,0,1,1,30,34,1024,False,1.3
24,resnext-saycam(S)-s,different_shapes,0.904296875,0.2941836714744568,0.009193239733576775,above_below,0,0,1,1,45,34,1024,False,1.3
25,resnext-saycam(S)-s,split_text,0.9189453125,0.27291908860206604,0.008528721518814564,above_below,0,0,1,1,45,34,1024,False,1.3
26,resnext-saycam(S)-s,random_color,0.8896484375,0.31332746148109436,0.009791483171284199,above_below,0,0,1,1,45,34,1024,False,1.3
27,resnext-saycam(S)-h,different_shapes,0.900390625,0.2994784712791443,0.009358702227473259,above_below,0,0,1,1,45,34,1024,False,1.3
28,resnext-saycam(S)-h,split_text,0.865234375,0.3414730727672577,0.010671033523976803,above_below,0,0,1,1,45,34,1024,False,1.3
29,resnext-saycam(S)-h,random_color,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,1,45,34,1024,False,1.3
30,resnext-saycam(S)-v,different_shapes,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,1,1,45,34,1024,False,1.3
31,resnext-saycam(S)-v,split_text,0.8095703125,0.39264005422592163,0.012270001694560051,above_below,0,0,1,1,45,34,1024,False,1.3
