,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
44,resnext-saycam(S)-v,random_color,0.7919921875,0.40588244795799255,0.012683826498687267,above_below,0,0,1,1,60,34,1024,False,1.1
45,resnext-saycam(S)-hv,different_shapes,0.712890625,0.45241305232048035,0.01413790788501501,above_below,0,0,1,1,60,34,1024,False,1.1
46,resnext-saycam(S)-hv,split_text,0.7822265625,0.4127325713634491,0.012897892855107784,above_below,0,0,1,1,60,34,1024,False,1.1
47,resnext-saycam(S)-hv,random_color,0.5654296875,0.495700478553772,0.015490639954805374,above_below,0,0,1,1,60,34,1024,False,1.1
48,resnext-saycam(S)-s,different_shapes,0.8212890625,0.38311007618904114,0.011972189880907536,above_below,0,0,1,1,90,34,1024,False,1.1
49,resnext-saycam(S)-s,split_text,0.8564453125,0.35063761472702026,0.010957425460219383,above_below,0,0,1,1,90,34,1024,False,1.1
50,resnext-saycam(S)-s,random_color,0.79296875,0.40517812967300415,0.01266181655228138,above_below,0,0,1,1,90,34,1024,False,1.1
51,resnext-saycam(S)-h,different_shapes,0.220703125,0.41472068428993225,0.012960021384060383,above_below,0,0,1,1,90,34,1024,False,1.1
52,resnext-saycam(S)-h,split_text,0.4052734375,0.49094489216804504,0.015342027880251408,above_below,0,0,1,1,90,34,1024,False,1.1
53,resnext-saycam(S)-h,random_color,0.1484375,0.3555331230163574,0.01111041009426117,above_below,0,0,1,1,90,34,1024,False,1.1
54,resnext-saycam(S)-v,different_shapes,0.9658203125,0.1816904991865158,0.005677828099578619,above_below,0,0,1,1,90,34,1024,False,1.1
55,resnext-saycam(S)-v,split_text,0.962890625,0.18902981281280518,0.005907181650400162,above_below,0,0,1,1,90,34,1024,False,1.1
56,resnext-saycam(S)-v,random_color,0.9375,0.24206146597862244,0.007564420811831951,above_below,0,0,1,1,90,34,1024,False,1.1
57,resnext-saycam(S)-hv,different_shapes,0.67578125,0.4680822193622589,0.014627569355070591,above_below,0,0,1,1,90,34,1024,False,1.1
58,resnext-saycam(S)-hv,split_text,0.6787109375,0.4669715166091919,0.014592859894037247,above_below,0,0,1,1,90,34,1024,False,1.1
59,resnext-saycam(S)-hv,random_color,0.5,0.5,0.015625,above_below,0,0,1,1,90,34,1024,False,1.1
60,resnext-saycam(S)-s,different_shapes,0.921875,0.2683681845664978,0.008386505767703056,above_below,0,0,1,1,120,34,1024,False,1.1
61,resnext-saycam(S)-s,split_text,0.765625,0.42360755801200867,0.01323773618787527,above_below,0,0,1,1,120,34,1024,False,1.1
62,resnext-saycam(S)-s,random_color,0.8828125,0.32164356112480164,0.010051361285150051,above_below,0,0,1,1,120,34,1024,False,1.1
63,resnext-saycam(S)-h,different_shapes,0.66015625,0.47365596890449524,0.014801749028265476,above_below,0,0,1,1,120,34,1024,False,1.1
64,resnext-saycam(S)-h,split_text,0.8203125,0.38392695784568787,0.011997717432677746,above_below,0,0,1,1,120,34,1024,False,1.1
65,resnext-saycam(S)-h,random_color,0.5751953125,0.4943133294582367,0.015447291545569897,above_below,0,0,1,1,120,34,1024,False,1.1
66,resnext-saycam(S)-v,different_shapes,0.80859375,0.39340806007385254,0.012294001877307892,above_below,0,0,1,1,120,34,1024,False,1.1
67,resnext-saycam(S)-v,split_text,0.9091796875,0.28735342621803284,0.008979794569313526,above_below,0,0,1,1,120,34,1024,False,1.1
68,resnext-saycam(S)-v,random_color,0.75390625,0.4307337999343872,0.0134604312479496,above_below,0,0,1,1,120,34,1024,False,1.1
69,resnext-saycam(S)-hv,different_shapes,0.5576171875,0.4966691732406616,0.015520911663770676,above_below,0,0,1,1,120,34,1024,False,1.1
70,resnext-saycam(S)-hv,split_text,0.6318359375,0.48230621218681335,0.015072069130837917,above_below,0,0,1,1,120,34,1024,False,1.1
71,resnext-saycam(S)-hv,random_color,0.4296875,0.495031476020813,0.015469733625650406,above_below,0,0,1,1,120,34,1024,False,1.1
72,resnext-saycam(S)-s,different_shapes,0.939453125,0.2384972721338272,0.0074530397541821,above_below,0,0,1,1,135,34,1024,False,1.1
73,resnext-saycam(S)-s,split_text,0.8837890625,0.320477694272995,0.010014927946031094,above_below,0,0,1,1,135,34,1024,False,1.1
74,resnext-saycam(S)-s,random_color,0.953125,0.21137107908725739,0.006605346221476793,above_below,0,0,1,1,135,34,1024,False,1.1
75,resnext-saycam(S)-h,different_shapes,0.9423828125,0.23301813006401062,0.007281816564500332,above_below,0,0,1,1,135,34,1024,False,1.1
76,resnext-saycam(S)-h,split_text,0.880859375,0.32395389676094055,0.010123559273779392,above_below,0,0,1,1,135,34,1024,False,1.1
77,resnext-saycam(S)-h,random_color,0.875,0.33071890473365784,0.010334965772926807,above_below,0,0,1,1,135,34,1024,False,1.1
78,resnext-saycam(S)-v,different_shapes,0.8017578125,0.3986755907535553,0.012458612211048603,above_below,0,0,1,1,135,34,1024,False,1.1
79,resnext-saycam(S)-v,split_text,0.91015625,0.28595778346061707,0.008936180733144283,above_below,0,0,1,1,135,34,1024,False,1.1
80,resnext-saycam(S)-v,random_color,0.7587890625,0.4278179705142975,0.013369311578571796,above_below,0,0,1,1,135,34,1024,False,1.1
81,resnext-saycam(S)-hv,different_shapes,0.5302734375,0.49908268451690674,0.015596333891153336,above_below,0,0,1,1,135,34,1024,False,1.1
82,resnext-saycam(S)-hv,split_text,0.611328125,0.487448513507843,0.015232766047120094,above_below,0,0,1,1,135,34,1024,False,1.1
83,resnext-saycam(S)-hv,random_color,0.39453125,0.48874977231025696,0.01527343038469553,above_below,0,0,1,1,135,34,1024,False,1.1
84,resnext-saycam(S)-s,different_shapes,0.908203125,0.28873899579048157,0.009023093618452549,above_below,0,0,1,1,150,34,1024,False,1.1
85,resnext-saycam(S)-s,split_text,0.9541015625,0.2092648297548294,0.006539525929838419,above_below,0,0,1,1,150,34,1024,False,1.1
86,resnext-saycam(S)-s,random_color,0.96875,0.17399263381958008,0.0054372698068618774,above_below,0,0,1,1,150,34,1024,False,1.1
87,resnext-saycam(S)-h,different_shapes,0.98046875,0.13838273286819458,0.004324460402131081,above_below,0,0,1,1,150,34,1024,False,1.1
88,resnext-saycam(S)-h,split_text,0.93359375,0.24899087846279144,0.007780964951962233,above_below,0,0,1,1,150,34,1024,False,1.1
89,resnext-saycam(S)-h,random_color,0.9765625,0.15128840506076813,0.004727762658149004,above_below,0,0,1,1,150,34,1024,False,1.1
90,resnext-saycam(S)-v,different_shapes,0.6982421875,0.459020733833313,0.014344397932291031,above_below,0,0,1,1,150,34,1024,False,1.1
91,resnext-saycam(S)-v,split_text,0.7646484375,0.4242183566093445,0.013256823644042015,above_below,0,0,1,1,150,34,1024,False,1.1
92,resnext-saycam(S)-v,random_color,0.6875,0.4635123908519745,0.014484762214124203,above_below,0,0,1,1,150,34,1024,False,1.1
93,resnext-saycam(S)-hv,different_shapes,0.5009765625,0.4999990463256836,0.015624970197677612,above_below,0,0,1,1,150,34,1024,False,1.1
94,resnext-saycam(S)-hv,split_text,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,1,1,150,34,1024,False,1.1
95,resnext-saycam(S)-hv,random_color,0.435546875,0.49582839012145996,0.015494637191295624,above_below,0,0,1,1,150,34,1024,False,1.1
96,resnext-saycam(S)-s,different_shapes,0.986328125,0.11612474173307419,0.0036288981791585684,above_below,0,0,1,4,0,34,1024,False,1.1
97,resnext-saycam(S)-s,split_text,0.9931640625,0.08239664882421494,0.0025748952757567167,above_below,0,0,1,4,0,34,1024,False,1.1
98,resnext-saycam(S)-s,random_color,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,4,0,34,1024,False,1.1
99,resnext-saycam(S)-h,different_shapes,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,4,0,34,1024,False,1.1
100,resnext-saycam(S)-h,split_text,0.9912109375,0.09333710372447968,0.00291678449138999,above_below,0,0,1,4,0,34,1024,False,1.1
101,resnext-saycam(S)-h,random_color,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,4,0,34,1024,False,1.1
102,resnext-saycam(S)-v,different_shapes,0.416015625,0.492896169424057,0.015403005294501781,above_below,0,0,1,4,0,34,1024,False,1.1
103,resnext-saycam(S)-v,split_text,0.3955078125,0.48895949125289917,0.015279984101653099,above_below,0,0,1,4,0,34,1024,False,1.1
104,resnext-saycam(S)-v,random_color,0.3486328125,0.4765374958515167,0.014891796745359898,above_below,0,0,1,4,0,34,1024,False,1.1
105,resnext-saycam(S)-hv,different_shapes,0.697265625,0.45944127440452576,0.01435753982514143,above_below,0,0,1,4,0,34,1024,False,1.1
106,resnext-saycam(S)-hv,split_text,0.5927734375,0.4913177192211151,0.015353678725659847,above_below,0,0,1,4,0,34,1024,False,1.1
107,resnext-saycam(S)-hv,random_color,0.6376953125,0.48066622018814087,0.015020819380879402,above_below,0,0,1,4,0,34,1024,False,1.1
108,resnext-saycam(S)-s,different_shapes,0.9736328125,0.16022472083568573,0.005007022526115179,above_below,0,0,1,4,30,34,1024,False,1.1
109,resnext-saycam(S)-s,split_text,0.9541015625,0.2092648297548294,0.006539525929838419,above_below,0,0,1,4,30,34,1024,False,1.1
110,resnext-saycam(S)-s,random_color,0.9775390625,0.14817707240581512,0.004630533512681723,above_below,0,0,1,4,30,34,1024,False,1.1
111,resnext-saycam(S)-h,different_shapes,0.9736328125,0.16022472083568573,0.005007022526115179,above_below,0,0,1,4,30,34,1024,False,1.1
112,resnext-saycam(S)-h,split_text,0.9443359375,0.22927182912826538,0.007164744660258293,above_below,0,0,1,4,30,34,1024,False,1.1
113,resnext-saycam(S)-h,random_color,0.9716796875,0.16588632762432098,0.005183947738260031,above_below,0,0,1,4,30,34,1024,False,1.1
114,resnext-saycam(S)-v,different_shapes,0.7177734375,0.45008301734924316,0.014065094292163849,above_below,0,0,1,4,30,34,1024,False,1.1
115,resnext-saycam(S)-v,split_text,0.8037109375,0.3971897065639496,0.012412178330123425,above_below,0,0,1,4,30,34,1024,False,1.1
116,resnext-saycam(S)-v,random_color,0.59765625,0.4903705418109894,0.015324079431593418,above_below,0,0,1,4,30,34,1024,False,1.1
117,resnext-saycam(S)-hv,different_shapes,0.5458984375,0.49788886308670044,0.015559026971459389,above_below,0,0,1,4,30,34,1024,False,1.1
118,resnext-saycam(S)-hv,split_text,0.572265625,0.49475011229515076,0.015460941009223461,above_below,0,0,1,4,30,34,1024,False,1.1
119,resnext-saycam(S)-hv,random_color,0.51171875,0.4998626410961151,0.015620707534253597,above_below,0,0,1,4,30,34,1024,False,1.1
120,resnext-saycam(S)-s,different_shapes,0.947265625,0.22350271046161652,0.006984459701925516,above_below,0,0,1,4,45,34,1024,False,1.1
