,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose
41,resnext-saycam(S)-hv,random_color,0.4638671875,0.49869272112846375,0.015584147535264492,above_below,0,0,1,4,120,34,1024,True
42,resnext-saycam(S)-hv,different_shapes,0.4677734375,0.49896037578582764,0.015592511743307114,above_below,0,0,1,4,135,34,1024,True
43,resnext-saycam(S)-hv,split_text,0.5830078125,0.4930615723133087,0.015408174134790897,above_below,0,0,1,4,135,34,1024,True
44,resnext-saycam(S)-hv,random_color,0.4072265625,0.4913177192211151,0.015353678725659847,above_below,0,0,1,4,135,34,1024,True
45,resnext-saycam(S)-hv,different_shapes,0.53515625,0.4987625181674957,0.015586328692734241,above_below,0,0,1,4,150,34,1024,True
46,resnext-saycam(S)-hv,split_text,0.6259765625,0.483869731426239,0.01512092910706997,above_below,0,0,1,4,150,34,1024,True
47,resnext-saycam(S)-hv,random_color,0.4765625,0.4994503855705261,0.015607824549078941,above_below,0,0,1,4,150,34,1024,True
48,resnext-saycam(S)-hv,different_shapes,0.5791015625,0.49370330572128296,0.015428228303790092,above_below,0,0,2,1,0,34,1024,True
49,resnext-saycam(S)-hv,split_text,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,2,1,0,34,1024,True
50,resnext-saycam(S)-hv,random_color,0.541015625,0.49831488728523254,0.015572340227663517,above_below,0,0,2,1,0,34,1024,True
51,resnext-saycam(S)-hv,different_shapes,0.548828125,0.49761009216308594,0.015550315380096436,above_below,0,0,2,1,30,34,1024,True
52,resnext-saycam(S)-hv,split_text,0.7275390625,0.4452257454395294,0.013913304544985294,above_below,0,0,2,1,30,34,1024,True
53,resnext-saycam(S)-hv,random_color,0.5791015625,0.49370330572128296,0.015428228303790092,above_below,0,0,2,1,30,34,1024,True
54,resnext-saycam(S)-hv,different_shapes,0.51953125,0.49961838126182556,0.015613074414432049,above_below,0,0,2,1,45,34,1024,True
55,resnext-saycam(S)-hv,split_text,0.6220703125,0.48486992716789246,0.01515218522399664,above_below,0,0,2,1,45,34,1024,True
56,resnext-saycam(S)-hv,random_color,0.5908203125,0.4916824996471405,0.01536507811397314,above_below,0,0,2,1,45,34,1024,True
57,resnext-saycam(S)-hv,different_shapes,0.5048828125,0.49997615814208984,0.015624254941940308,above_below,0,0,2,1,60,34,1024,True
58,resnext-saycam(S)-hv,split_text,0.5390625,0.49847179651260376,0.015577243641018867,above_below,0,0,2,1,60,34,1024,True
59,resnext-saycam(S)-hv,random_color,0.5439453125,0.4980650544166565,0.015564532950520515,above_below,0,0,2,1,60,34,1024,True
60,resnext-saycam(S)-hv,different_shapes,0.638671875,0.48038536310195923,0.015012042596936226,above_below,0,0,2,1,90,34,1024,True
61,resnext-saycam(S)-hv,split_text,0.611328125,0.487448513507843,0.015232766047120094,above_below,0,0,2,1,90,34,1024,True
62,resnext-saycam(S)-hv,random_color,0.60546875,0.48874977231025696,0.01527343038469553,above_below,0,0,2,1,90,34,1024,True
63,resnext-saycam(S)-hv,different_shapes,0.4443359375,0.4968918561935425,0.015527870506048203,above_below,0,0,2,1,120,34,1024,True
64,resnext-saycam(S)-hv,split_text,0.4794921875,0.4995792508125305,0.015611851587891579,above_below,0,0,2,1,120,34,1024,True
65,resnext-saycam(S)-hv,random_color,0.47265625,0.49925175309181213,0.01560161728411913,above_below,0,0,2,1,120,34,1024,True
66,resnext-saycam(S)-hv,different_shapes,0.4423828125,0.4966691732406616,0.015520911663770676,above_below,0,0,2,1,135,34,1024,True
67,resnext-saycam(S)-hv,split_text,0.5322265625,0.49896037578582764,0.015592511743307114,above_below,0,0,2,1,135,34,1024,True
68,resnext-saycam(S)-hv,random_color,0.4296875,0.495031476020813,0.015469733625650406,above_below,0,0,2,1,135,34,1024,True
69,resnext-saycam(S)-hv,different_shapes,0.4677734375,0.49896037578582764,0.015592511743307114,above_below,0,0,2,1,150,34,1024,True
70,resnext-saycam(S)-hv,split_text,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,2,1,150,34,1024,True
71,resnext-saycam(S)-hv,random_color,0.4716796875,0.4991973042488098,0.015599915757775307,above_below,0,0,2,1,150,34,1024,True
72,resnext-saycam(S)-hv,different_shapes,0.544921875,0.49797794222831726,0.015561810694634914,above_below,0,0,2,4,0,34,1024,True
73,resnext-saycam(S)-hv,split_text,0.623046875,0.4846230149269104,0.01514446921646595,above_below,0,0,2,4,0,34,1024,True
74,resnext-saycam(S)-hv,random_color,0.4501953125,0.4975133240222931,0.015547291375696659,above_below,0,0,2,4,0,34,1024,True
75,resnext-saycam(S)-hv,different_shapes,0.5458984375,0.49788886308670044,0.015559026971459389,above_below,0,0,2,4,30,34,1024,True
76,resnext-saycam(S)-hv,split_text,0.716796875,0.450554221868515,0.014079819433391094,above_below,0,0,2,4,30,34,1024,True
77,resnext-saycam(S)-hv,random_color,0.576171875,0.49416378140449524,0.015442618168890476,above_below,0,0,2,4,30,34,1024,True
78,resnext-saycam(S)-hv,different_shapes,0.53125,0.4990224838256836,0.015594452619552612,above_below,0,0,2,4,45,34,1024,True
79,resnext-saycam(S)-hv,split_text,0.646484375,0.4780610203742981,0.014939406886696815,above_below,0,0,2,4,45,34,1024,True
80,resnext-saycam(S)-hv,random_color,0.580078125,0.4935458302497864,0.015423307195305824,above_below,0,0,2,4,45,34,1024,True
81,resnext-saycam(S)-hv,different_shapes,0.5087890625,0.4999227523803711,0.015622586011886597,above_below,0,0,2,4,60,34,1024,True
82,resnext-saycam(S)-hv,split_text,0.5390625,0.49847179651260376,0.015577243641018867,above_below,0,0,2,4,60,34,1024,True
83,resnext-saycam(S)-hv,random_color,0.54296875,0.4981502592563629,0.015567195601761341,above_below,0,0,2,4,60,34,1024,True
84,resnext-saycam(S)-hv,different_shapes,0.595703125,0.49075543880462646,0.015336107462644577,above_below,0,0,2,4,90,34,1024,True
85,resnext-saycam(S)-hv,split_text,0.603515625,0.48916715383529663,0.01528647355735302,above_below,0,0,2,4,90,34,1024,True
86,resnext-saycam(S)-hv,random_color,0.580078125,0.4935458302497864,0.015423307195305824,above_below,0,0,2,4,90,34,1024,True
87,resnext-saycam(S)-hv,different_shapes,0.4755859375,0.49940359592437744,0.015606362372636795,above_below,0,0,2,4,120,34,1024,True
88,resnext-saycam(S)-hv,split_text,0.5029296875,0.49999141693115234,0.01562473177909851,above_below,0,0,2,4,120,34,1024,True
89,resnext-saycam(S)-hv,random_color,0.478515625,0.49953821301460266,0.015610569156706333,above_below,0,0,2,4,120,34,1024,True
90,resnext-saycam(S)-hv,different_shapes,0.4521484375,0.49770495295524597,0.015553279779851437,above_below,0,0,2,4,135,34,1024,True
91,resnext-saycam(S)-hv,split_text,0.583984375,0.492896169424057,0.015403005294501781,above_below,0,0,2,4,135,34,1024,True
