,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio
0,resnext-saycam(S)-s,different_shapes,0.9892578125,0.10308633744716644,0.0032214480452239513,above_below,0,0,1,1,0,34,1024,False,1.2
1,resnext-saycam(S)-s,split_text,0.9921875,0.08804240077733994,0.002751325024291873,above_below,0,0,1,1,0,34,1024,False,1.2
2,resnext-saycam(S)-s,random_color,0.9951171875,0.06970632076263428,0.002178322523832321,above_below,0,0,1,1,0,34,1024,False,1.2
3,resnext-saycam(S)-h,different_shapes,0.99609375,0.06237781047821045,0.0019493065774440765,above_below,0,0,1,1,0,34,1024,False,1.2
4,resnext-saycam(S)-h,split_text,0.982421875,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,0,34,1024,False,1.2
5,resnext-saycam(S)-h,random_color,0.9873046875,0.11195597797632217,0.003498624311760068,above_below,0,0,1,1,0,34,1024,False,1.2
6,resnext-saycam(S)-v,different_shapes,0.4189453125,0.4933863878250122,0.015418324619531631,above_below,0,0,1,1,0,34,1024,False,1.2
7,resnext-saycam(S)-v,split_text,0.4384765625,0.49620044231414795,0.015506263822317123,above_below,0,0,1,1,0,34,1024,False,1.2
8,resnext-saycam(S)-v,random_color,0.3603515625,0.48010239005088806,0.015003199689090252,above_below,0,0,1,1,0,34,1024,False,1.2
9,resnext-saycam(S)-hv,different_shapes,0.701171875,0.4577443301677704,0.014304510317742825,above_below,0,0,1,1,0,34,1024,False,1.2
10,resnext-saycam(S)-hv,split_text,0.6328125,0.4820381999015808,0.0150636937469244,above_below,0,0,1,1,0,34,1024,False,1.2
11,resnext-saycam(S)-hv,random_color,0.662109375,0.47299107909202576,0.014780971221625805,above_below,0,0,1,1,0,34,1024,False,1.2
12,resnext-saycam(S)-s,different_shapes,0.96875,0.17399263381958008,0.0054372698068618774,above_below,0,0,1,1,30,34,1024,False,1.2
13,resnext-saycam(S)-s,split_text,0.947265625,0.22350271046161652,0.006984459701925516,above_below,0,0,1,1,30,34,1024,False,1.2
14,resnext-saycam(S)-s,random_color,0.970703125,0.16863738000392914,0.005269918125122786,above_below,0,0,1,1,30,34,1024,False,1.2
15,resnext-saycam(S)-h,different_shapes,0.96484375,0.18417461216449738,0.005755456630140543,above_below,0,0,1,1,30,34,1024,False,1.2
16,resnext-saycam(S)-h,split_text,0.9296875,0.2556729316711426,0.007989779114723206,above_below,0,0,1,1,30,34,1024,False,1.2
17,resnext-saycam(S)-h,random_color,0.9697265625,0.17133872210979462,0.005354335065931082,above_below,0,0,1,1,30,34,1024,False,1.2
18,resnext-saycam(S)-v,different_shapes,0.6826171875,0.4654577970504761,0.014545556157827377,above_below,0,0,1,1,30,34,1024,False,1.2
19,resnext-saycam(S)-v,split_text,0.7958984375,0.40304356813430786,0.01259511150419712,above_below,0,0,1,1,30,34,1024,False,1.2
20,resnext-saycam(S)-v,random_color,0.5439453125,0.4980650544166565,0.015564532950520515,above_below,0,0,1,1,30,34,1024,False,1.2
21,resnext-saycam(S)-hv,different_shapes,0.5009765625,0.4999990463256836,0.015624970197677612,above_below,0,0,1,1,30,34,1024,False,1.2
22,resnext-saycam(S)-hv,split_text,0.5849609375,0.4927287697792053,0.015397774055600166,above_below,0,0,1,1,30,34,1024,False,1.2
23,resnext-saycam(S)-hv,random_color,0.48828125,0.4998626410961151,0.015620707534253597,above_below,0,0,1,1,30,34,1024,False,1.2
24,resnext-saycam(S)-s,different_shapes,0.9306640625,0.25402453541755676,0.007938266731798649,above_below,0,0,1,1,45,34,1024,False,1.2
25,resnext-saycam(S)-s,split_text,0.916015625,0.2773643732070923,0.008667636662721634,above_below,0,0,1,1,45,34,1024,False,1.2
26,resnext-saycam(S)-s,random_color,0.9296875,0.2556729316711426,0.007989779114723206,above_below,0,0,1,1,45,34,1024,False,1.2
27,resnext-saycam(S)-h,different_shapes,0.92578125,0.26212653517723083,0.008191454224288464,above_below,0,0,1,1,45,34,1024,False,1.2
28,resnext-saycam(S)-h,split_text,0.875,0.33071890473365784,0.010334965772926807,above_below,0,0,1,1,45,34,1024,False,1.2
29,resnext-saycam(S)-h,random_color,0.86328125,0.3435502052307129,0.010735943913459778,above_below,0,0,1,1,45,34,1024,False,1.2
30,resnext-saycam(S)-v,different_shapes,0.6923828125,0.4615071415901184,0.0144220981746912,above_below,0,0,1,1,45,34,1024,False,1.2
