,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,n_habituation_stimuli,rotate_angle,seed,n_examples,transpose,same_relation_target_distance_ratio,unpooled_output
39,resnext-saycam(S)-h,different_shapes,0.2421875,0.4284071922302246,0.013387724757194519,above_below,0,0,1,1,60,34,1024,False,,False
40,resnext-saycam(S)-h,split_text,0.2080078125,0.40588244795799255,0.012683826498687267,above_below,0,0,1,1,60,34,1024,False,,False
41,resnext-saycam(S)-h,random_color,0.34765625,0.47622618079185486,0.014882068149745464,above_below,0,0,1,1,60,34,1024,False,,False
42,resnext-saycam(S)-v,different_shapes,0.1298828125,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,60,34,1024,False,,False
43,resnext-saycam(S)-v,split_text,0.130859375,0.33724650740623474,0.010538953356444836,above_below,0,0,1,1,60,34,1024,False,,False
44,resnext-saycam(S)-v,random_color,0.1650390625,0.3712157905101776,0.01160049345344305,above_below,0,0,1,1,60,34,1024,False,,False
45,resnext-saycam(S)-hv,different_shapes,0.2578125,0.4374302327632904,0.013669694773852825,above_below,0,0,1,1,60,34,1024,False,,False
46,resnext-saycam(S)-hv,split_text,0.203125,0.4023247957229614,0.012572649866342545,above_below,0,0,1,1,60,34,1024,False,,False
47,resnext-saycam(S)-hv,random_color,0.3857421875,0.4867701232433319,0.015211566351354122,above_below,0,0,1,1,60,34,1024,False,,False
48,resnext-saycam(S)-s,different_shapes,0.1376953125,0.34457990527153015,0.010768122039735317,above_below,0,0,1,1,90,34,1024,False,,False
49,resnext-saycam(S)-s,split_text,0.1298828125,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,90,34,1024,False,,False
50,resnext-saycam(S)-s,random_color,0.173828125,0.37896162271499634,0.011842550709843636,above_below,0,0,1,1,90,34,1024,False,,False
51,resnext-saycam(S)-h,different_shapes,0.732421875,0.44269636273384094,0.01383426133543253,above_below,0,0,1,1,90,34,1024,False,,False
52,resnext-saycam(S)-h,split_text,0.5830078125,0.4930615723133087,0.015408174134790897,above_below,0,0,1,1,90,34,1024,False,,False
53,resnext-saycam(S)-h,random_color,0.8076171875,0.39417213201522827,0.012317879125475883,above_below,0,0,1,1,90,34,1024,False,,False
54,resnext-saycam(S)-v,different_shapes,0.017578125,0.131412073969841,0.004106627311557531,above_below,0,0,1,1,90,34,1024,False,,False
55,resnext-saycam(S)-v,split_text,0.0283203125,0.16588632762432098,0.005183947738260031,above_below,0,0,1,1,90,34,1024,False,,False
56,resnext-saycam(S)-v,random_color,0.04296875,0.20278668403625488,0.006337083876132965,above_below,0,0,1,1,90,34,1024,False,,False
57,resnext-saycam(S)-hv,different_shapes,0.25390625,0.435244619846344,0.01360139437019825,above_below,0,0,1,1,90,34,1024,False,,False
58,resnext-saycam(S)-hv,split_text,0.2568359375,0.4368881285190582,0.01365275401622057,above_below,0,0,1,1,90,34,1024,False,,False
59,resnext-saycam(S)-hv,random_color,0.3876953125,0.48722442984580994,0.01522576343268156,above_below,0,0,1,1,90,34,1024,False,,False
60,resnext-saycam(S)-s,different_shapes,0.0595703125,0.2366890162229538,0.007396531756967306,above_below,0,0,1,1,120,34,1024,False,,False
61,resnext-saycam(S)-s,split_text,0.21875,0.4133986532688141,0.01291870791465044,above_below,0,0,1,1,120,34,1024,False,,False
62,resnext-saycam(S)-s,random_color,0.0732421875,0.2605336308479309,0.008141675963997841,above_below,0,0,1,1,120,34,1024,False,,False
63,resnext-saycam(S)-h,different_shapes,0.2666015625,0.4421822726726532,0.013818196021020412,above_below,0,0,1,1,120,34,1024,False,,False
64,resnext-saycam(S)-h,split_text,0.15234375,0.35935378074645996,0.011229805648326874,above_below,0,0,1,1,120,34,1024,False,,False
65,resnext-saycam(S)-h,random_color,0.3642578125,0.48122143745422363,0.015038169920444489,above_below,0,0,1,1,120,34,1024,False,,False
66,resnext-saycam(S)-v,different_shapes,0.140625,0.34763431549072266,0.010863572359085083,above_below,0,0,1,1,120,34,1024,False,,False
