,model,example_index,configuration_index,bowl_color,target_object,containment_high_containment_cos,containment_behind_cos,containment_support_cos,high_containment_behind_cos,high_containment_support_cos,behind_support_cos
0,resnext-DINO-S,0,0,brown,BeachBall,0.7744160294532776,0.7935688495635986,0.8108595013618469,0.9487353563308716,0.9166921377182007,0.9492101669311523
1,resnext-DINO-S,1,0,brown,Knight,0.7924315333366394,0.813379168510437,0.8301432132720947,0.95975661277771,0.9141740202903748,0.9490936994552612
2,resnext-DINO-S,2,0,brown,Lego,0.7814337611198425,0.7909581065177917,0.7817733287811279,0.9464350938796997,0.89742511510849,0.9377456307411194
3,resnext-DINO-S,3,0,brown,Pineapple,0.7718650102615356,0.799370288848877,0.7995620965957642,0.9461334943771362,0.9028159379959106,0.9469419121742249
4,resnext-DINO-S,4,0,brown,Robot,0.775549054145813,0.7912447452545166,0.7954017519950867,0.9336639642715454,0.8945278525352478,0.940243124961853
5,resnext-DINO-S,5,0,brown,RubberDuck,0.7861689329147339,0.7849207520484924,0.7992885708808899,0.945671558380127,0.9019981026649475,0.9502612948417664
6,resnext-DINO-S,6,0,brown,Teddy,0.8002389669418335,0.7821367979049683,0.8031235337257385,0.94383305311203,0.9153098464012146,0.9478285908699036
7,resnext-DINO-S,7,0,brown,Truck,0.7738918662071228,0.7798978686332703,0.7861233353614807,0.929269015789032,0.8944209218025208,0.9487695097923279
8,resnext-DINO-S,8,1,blue,BeachBall,0.6528180837631226,0.6687710881233215,0.6637381315231323,0.9766966700553894,0.9651352763175964,0.9826659560203552
9,resnext-DINO-S,9,1,blue,Knight,0.6466572284698486,0.6577179431915283,0.667166531085968,0.9839087128639221,0.9639383554458618,0.977466344833374
10,resnext-DINO-S,10,1,blue,Lego,0.6689575910568237,0.664710283279419,0.6627416014671326,0.9846824407577515,0.9668648838996887,0.9817379117012024
11,resnext-DINO-S,11,1,blue,Pineapple,0.634700357913971,0.6508423089981079,0.6471396088600159,0.9761576652526855,0.9555426836013794,0.9779435992240906
12,resnext-DINO-S,12,1,blue,Robot,0.6404752135276794,0.6542217135429382,0.65400630235672,0.9767823219299316,0.9608608484268188,0.9780110716819763
13,resnext-DINO-S,13,1,blue,RubberDuck,0.6636996269226074,0.669934093952179,0.6686491370201111,0.9761775732040405,0.9574412703514099,0.9782736301422119
14,resnext-DINO-S,14,1,blue,Teddy,0.6685280799865723,0.6668242812156677,0.6685023903846741,0.9695892333984375,0.9612073302268982,0.9790986776351929
15,resnext-DINO-S,15,1,blue,Truck,0.6625249981880188,0.6667536497116089,0.6745827198028564,0.9797398447990417,0.9633599519729614,0.9803259968757629
16,resnext-DINO-S,16,2,purple,BeachBall,0.7865079045295715,0.7913429737091064,0.8256979584693909,0.9275714159011841,0.8950728178024292,0.9437371492385864
17,resnext-DINO-S,17,2,purple,Knight,0.783897876739502,0.8094375133514404,0.8202230334281921,0.9284853935241699,0.8782278299331665,0.9295523166656494
18,resnext-DINO-S,18,2,purple,Lego,0.8197762966156006,0.8016852736473083,0.7836008071899414,0.9321491718292236,0.8617978096008301,0.9155293703079224
19,resnext-DINO-S,19,2,purple,Pineapple,0.7818145155906677,0.8040399551391602,0.8057219982147217,0.9250878691673279,0.8841308951377869,0.9383415579795837
20,resnext-DINO-S,20,2,purple,Robot,0.7751578092575073,0.7847439646720886,0.7984512448310852,0.9160084128379822,0.8805068731307983,0.9382141828536987
21,resnext-DINO-S,21,2,purple,RubberDuck,0.7841764092445374,0.7689739465713501,0.7778881192207336,0.9125977158546448,0.861664354801178,0.9334399104118347
22,resnext-DINO-S,22,2,purple,Teddy,0.7992623448371887,0.7645836472511292,0.7912876009941101,0.9238935708999634,0.8991584181785583,0.9328569769859314
23,resnext-DINO-S,23,2,purple,Truck,0.7871278524398804,0.7778903841972351,0.7822700142860413,0.9141846895217896,0.8635573983192444,0.9178539514541626
24,resnext-DINO-S,24,3,green,BeachBall,0.6800146102905273,0.679524302482605,0.6682711839675903,0.9432368874549866,0.9114329814910889,0.9488050937652588
25,resnext-DINO-S,25,3,green,Knight,0.6655870079994202,0.6901953816413879,0.6829984784126282,0.9519621729850769,0.9058101177215576,0.9354468584060669
26,resnext-DINO-S,26,3,green,Lego,0.6794642210006714,0.6659231185913086,0.6430854201316833,0.9521816372871399,0.8835446238517761,0.9323804378509521
27,resnext-DINO-S,27,3,green,Pineapple,0.6576923131942749,0.6558446288108826,0.6464550495147705,0.9385458827018738,0.8872779011726379,0.925410270690918
28,resnext-DINO-S,28,3,green,Robot,0.6635977625846863,0.6751847863197327,0.6649489402770996,0.939704418182373,0.9019647240638733,0.9416504502296448
29,resnext-DINO-S,29,3,green,RubberDuck,0.6817504167556763,0.674970269203186,0.6641501784324646,0.9414435625076294,0.896278977394104,0.9425850510597229
30,resnext-DINO-S,30,3,green,Teddy,0.6912108063697815,0.6968961954116821,0.6793034672737122,0.9414498209953308,0.897302508354187,0.9446729421615601
31,resnext-DINO-S,31,3,green,Truck,0.6622991561889648,0.6522135138511658,0.6249273419380188,0.9327747225761414,0.8604027032852173,0.9238243699073792
32,resnext-DINO-S,32,4,brown,BeachBall,0.6482738256454468,0.6737620234489441,0.6758670210838318,0.9609237313270569,0.9400321841239929,0.9636527895927429
33,resnext-DINO-S,33,4,brown,Knight,0.6625528335571289,0.6909871101379395,0.6988188624382019,0.970366895198822,0.9416681528091431,0.9613801836967468
34,resnext-DINO-S,34,4,brown,Lego,0.6427564024925232,0.660786509513855,0.6483368873596191,0.9632300734519958,0.9280359148979187,0.9562432169914246
