original_index,configuration_index,example_index,scene_type,reference_object,target_object,target_pixel_count,reference_pixel_count,target_count_diff,target_count_ratio,reference_count_diff,reference_count_ratio
41,0,9,High Containment,CardboardBoxNoFlaps,Knight,7296,52826,2617,1.5593075443470827,7148,1.156486711327116
42,0,10,High Containment,CardboardBoxNoFlaps,Lego,8420,51161,6361,4.0893637688198154,5492,1.1202566292233243
43,0,11,High Containment,CardboardBoxNoFlaps,Pineapple,6572,53336,2862,1.7714285714285714,7229,1.1567874726180407
44,0,12,High Containment,CardboardBoxNoFlaps,PingPong,9062,50519,6657,3.767983367983368,5058,1.1112602010514507
45,0,13,High Containment,CardboardBoxNoFlaps,Robot,5506,54075,2610,1.901243093922652,8187,1.1784126569037656
46,0,14,High Containment,CardboardBoxNoFlaps,RubberDuck,6486,53095,4836,3.930909090909091,6814,1.1472310451373133
47,0,15,High Containment,CardboardBoxNoFlaps,Teddy,12259,48620,5275,1.7552978235967927,3734,1.0831885220335962
48,0,16,High Containment,ShortBoxNoFlaps,BeachBall,11999,31502,6856,2.33307408127552,23,1.000730645827377
49,0,17,High Containment,ShortBoxNoFlaps,Knight,7296,36697,2617,1.5593075443470827,3977,1.121546454767726
50,0,18,High Containment,ShortBoxNoFlaps,Lego,8425,35028,6364,4.087821445900048,2319,1.070897918004219
51,0,19,High Containment,ShortBoxNoFlaps,Pineapple,6573,37206,2863,1.771698113207547,4057,1.1223867989984615
52,0,20,High Containment,ShortBoxNoFlaps,PingPong,9064,34389,6658,3.767248545303408,1887,1.0580579656636515
53,0,21,High Containment,ShortBoxNoFlaps,Robot,5507,37946,2611,1.9015883977900552,5016,1.1523231096264803
54,0,22,High Containment,ShortBoxNoFlaps,RubberDuck,6491,36962,4840,3.931556632344034,3640,1.1092371406278134
55,0,23,High Containment,ShortBoxNoFlaps,Teddy,12263,32487,5279,1.7558705612829324,559,1.0175081433224755
56,0,24,High Containment,WoodenBasket,BeachBall,18778,32595,10271,2.2073586458210883,3264,1.1112815792165285
57,0,25,High Containment,WoodenBasket,Knight,11154,40230,4790,1.75267127592709,8009,1.2485646007262345
58,0,26,High Containment,WoodenBasket,Lego,15532,35661,9866,2.741263678079774,5173,1.1696733140907898
59,0,27,High Containment,WoodenBasket,Pineapple,10987,40391,5646,2.057105410971728,7629,1.232861241682437
60,0,28,High Containment,WoodenBasket,PingPong,11474,39740,5937,2.072241285894889,9057,1.2951797412247825
61,0,29,High Containment,WoodenBasket,Robot,8069,43186,3768,1.876075331318298,10376,1.3162450472416947
62,0,30,High Containment,WoodenBasket,RubberDuck,14157,36988,10733,4.13463785046729,4199,1.1280612400500167
63,0,31,High Containment,WoodenBasket,Teddy,19611,31821,10740,2.2106865065945214,558,1.017848574992803
64,0,0,Behind,Basket,BeachBall,7578,46007,-1554,0.8298291721419185,19290,1.722012201968784
65,0,1,Behind,Basket,Knight,4058,46007,-2444,0.6241156567210089,16057,1.536126878130217
66,0,2,Behind,Basket,Lego,4620,46007,-1808,0.7187305538270068,18827,1.6926784400294335
67,0,3,Behind,Basket,Pineapple,3817,46007,-1756,0.6849093845325678,15671,1.5165809599156117
68,0,4,Behind,Basket,PingPong,3886,46007,-2551,0.6036973745533634,18505,1.6728601556250455
69,0,5,Behind,Basket,Robot,2604,46007,-1821,0.5884745762711865,15647,1.5153820816864294
70,0,6,Behind,Basket,RubberDuck,2419,46007,-1083,0.6907481439177613,15565,1.5113001773865056
71,0,7,Behind,Basket,Teddy,7247,46007,-1955,0.7875461856118235,17029,1.587652702049831
72,0,8,Behind,CardboardBoxNoFlaps,BeachBall,9422,59581,4280,1.8323609490470634,15143,1.3407669112021243
73,0,9,Behind,CardboardBoxNoFlaps,Knight,4972,59581,293,1.0626202179952982,13903,1.3043697184640308
74,0,10,Behind,CardboardBoxNoFlaps,Lego,6657,59581,4598,3.233122875182127,13912,1.3046267708949177
75,0,11,Behind,CardboardBoxNoFlaps,Pineapple,5084,59581,1374,1.3703504043126684,13474,1.2922332834493677
76,0,12,Behind,CardboardBoxNoFlaps,PingPong,6017,59581,3612,2.5018711018711017,14120,1.3105958953828556
77,0,13,Behind,CardboardBoxNoFlaps,Robot,3438,59581,542,1.1871546961325967,13693,1.2984004532775453
78,0,14,Behind,CardboardBoxNoFlaps,RubberDuck,4117,59581,2467,2.495151515151515,13300,1.2873749486830448
