train_min_loss,train_min_acc,train_min_epoch,val_min_loss,val_min_acc,val_min_epoch,test_loss,test_acc,test_epoch,test_target_object,test_reference_object,test_proportion,test_seed,test_type,model,global_seed,unpooled_output,full_model_name,training,flip,dino
0.0011920647550842,1.0,12,0.0013237700600017,1.0,12,0.1903176285728198,0.9210766423357664,12,Knight,Basket,0.125,35,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0018034065906687,1.0,9,0.0018783819671769,1.0,9,0.2266080255824545,0.9101277372262774,9,Knight,Basket,0.125,36,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0021999993828596,1.0,10,0.002258611046464,1.0,10,0.2193732844800756,0.912066605839416,10,Knight,Basket,0.125,37,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0022073431851844,1.0,10,0.001977785959178,1.0,10,0.0208352742602803,0.9961222627737226,10,Knight,CardboardBoxNoFlaps,0.125,33,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0013061750701948,1.0,11,0.0017198627932597,1.0,11,0.0136337877277676,0.9972627737226276,11,Knight,CardboardBoxNoFlaps,0.125,34,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0012727456962611,1.0,12,0.0010917112767377,1.0,12,0.0136842430423924,0.9972627737226276,12,Knight,CardboardBoxNoFlaps,0.125,35,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0013375065720034,1.0,12,0.001101095580165,1.0,12,0.0170349964371076,0.996008211678832,12,Knight,CardboardBoxNoFlaps,0.125,36,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0020276618846523,1.0,9,0.0018081161328346,1.0,9,0.0202112699407203,0.995780109489051,9,Knight,CardboardBoxNoFlaps,0.125,37,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0016847321208207,1.0,10,0.0017900627694631,1.0,10,0.0259405761297765,0.995780109489051,10,Knight,ShortBoxNoFlaps,0.125,33,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
0.0020124770393062,1.0,10,0.0021245404189501,1.0,10,0.0324446257982344,0.9919023722627736,10,Knight,ShortBoxNoFlaps,0.125,34,target_object_reference_object_configuration,resnext,33,False,resnext-saycam(S)-s,saycam(S)-flip,s,
