,model_name,condition,acc_mean,acc_std,acc_sem,relation,two_reference_objects,adjacent_reference_objects,n_target_types,transpose_stimuli,n_habituation_stimuli,rotate_angle,seed,n_examples,extra_diagonal_margin
42,mobilenet-imagenet,different_shapes,0.615234375,0.4865398705005646,0.015204370953142643,above_below,0,0,1,0,4,60,34,1024,5
43,mobilenet-imagenet,split_text,0.0869140625,0.28170907497406006,0.008803408592939377,above_below,0,0,1,0,4,60,34,1024,5
44,mobilenet-imagenet,random_color,0.6123046875,0.48722442984580994,0.01522576343268156,above_below,0,0,1,0,4,60,34,1024,5
45,resnext-imagenet,different_shapes,0.5654296875,0.495700478553772,0.015490639954805374,above_below,0,0,1,0,4,60,34,1024,5
46,resnext-imagenet,split_text,0.08984375,0.28595778346061707,0.008936180733144283,above_below,0,0,1,0,4,60,34,1024,5
47,resnext-imagenet,random_color,0.564453125,0.49582839012145996,0.015494637191295624,above_below,0,0,1,0,4,60,34,1024,5
48,mobilenet-imagenet,different_shapes,0.5009765625,0.4999990463256836,0.015624970197677612,above_below,0,0,1,1,1,,34,1024,5
49,mobilenet-imagenet,split_text,0.1162109375,0.320477694272995,0.010014927946031094,above_below,0,0,1,1,1,,34,1024,5
50,mobilenet-imagenet,random_color,0.5517578125,0.497313916683197,0.015541059896349907,above_below,0,0,1,1,1,,34,1024,5
51,resnext-imagenet,different_shapes,0.4228515625,0.4940122663974762,0.015437883324921131,above_below,0,0,1,1,1,,34,1024,5
52,resnext-imagenet,split_text,0.076171875,0.26527291536331177,0.008289778605103493,above_below,0,0,1,1,1,,34,1024,5
53,resnext-imagenet,random_color,0.4677734375,0.49896037578582764,0.015592511743307114,above_below,0,0,1,1,1,,34,1024,5
54,mobilenet-imagenet,different_shapes,0.5625,0.49607837200164795,0.015502449125051498,above_below,0,0,1,1,1,30,34,1024,5
55,mobilenet-imagenet,split_text,0.12109375,0.32623618841171265,0.01019488088786602,above_below,0,0,1,1,1,30,34,1024,5
56,mobilenet-imagenet,random_color,0.5673828125,0.49543875455856323,0.015482461079955101,above_below,0,0,1,1,1,30,34,1024,5
57,resnext-imagenet,different_shapes,0.501953125,0.4999961853027344,0.01562488079071045,above_below,0,0,1,1,1,30,34,1024,5
58,resnext-imagenet,split_text,0.1044921875,0.305897980928421,0.009559311904013157,above_below,0,0,1,1,1,30,34,1024,5
59,resnext-imagenet,random_color,0.52734375,0.49925175309181213,0.01560161728411913,above_below,0,0,1,1,1,30,34,1024,5
60,mobilenet-imagenet,different_shapes,0.6103515625,0.48767051100730896,0.015239703468978405,above_below,0,0,1,1,1,45,34,1024,5
61,mobilenet-imagenet,split_text,0.1259765625,0.3318229615688324,0.010369467549026012,above_below,0,0,1,1,1,45,34,1024,5
62,mobilenet-imagenet,random_color,0.58203125,0.49322497844696045,0.015413280576467514,above_below,0,0,1,1,1,45,34,1024,5
63,resnext-imagenet,different_shapes,0.6337890625,0.48176807165145874,0.015055252239108086,above_below,0,0,1,1,1,45,34,1024,5
64,resnext-imagenet,split_text,0.1298828125,0.33617445826530457,0.010505451820790768,above_below,0,0,1,1,1,45,34,1024,5
65,resnext-imagenet,random_color,0.6396484375,0.48010239005088806,0.015003199689090252,above_below,0,0,1,1,1,45,34,1024,5
66,mobilenet-imagenet,different_shapes,0.716796875,0.450554221868515,0.014079819433391094,above_below,0,0,1,1,1,60,34,1024,5
67,mobilenet-imagenet,split_text,0.15625,0.36309218406677246,0.01134663075208664,above_below,0,0,1,1,1,60,34,1024,5
68,mobilenet-imagenet,random_color,0.6669921875,0.4712893068790436,0.014727790839970112,above_below,0,0,1,1,1,60,34,1024,5
69,resnext-imagenet,different_shapes,0.76953125,0.421132892370224,0.0131604028865695,above_below,0,0,1,1,1,60,34,1024,5
70,resnext-imagenet,split_text,0.1396484375,0.34662190079689026,0.01083193439990282,above_below,0,0,1,1,1,60,34,1024,5
71,resnext-imagenet,random_color,0.7607421875,0.4266304075717926,0.013332200236618519,above_below,0,0,1,1,1,60,34,1024,5
72,mobilenet-imagenet,different_shapes,0.4775390625,0.4994952380657196,0.015609226189553738,above_below,0,0,1,1,4,,34,1024,5
73,mobilenet-imagenet,split_text,0.107421875,0.30964887142181396,0.009676527231931686,above_below,0,0,1,1,4,,34,1024,5
